消防署,変電設備・高圧,変電設備・特別高圧,発電設備・低圧,発電設備・高圧,蓄電池設備・１００Ｖ未満,蓄電池設備・１００Ｖ以上,燃料電池発電設備・低圧,燃料電池発電設備・高圧
平成29年,75448,1787,15908,2255,4557,5513,7,0
平成30年,75802,1802,16231,2283,4600,5557,7,0
令和元年,76580,1829,16731,2324,4638,5620,8,1
令和2年,77170,1844,17099,2357,4701,5674,7,1
令和3年,77556,1847,17375,2376,4729,5715,7,1
特別区,59942,1596,13336,1933,3511,4629,5,1
丸の内,194,109,75,85,77,158,0,0
麹町,1388,63,380,88,100,255,0,1
神田,2778,46,479,76,90,180,0,0
京橋,2262,77,627,80,108,240,0,0
日本橋,2297,55,475,92,78,206,0,0
臨港,372,22,122,29,33,56,0,0
芝,2347,112,569,146,129,278,1,0
麻布,1198,21,262,25,56,67,0,0
赤坂,1351,39,345,68,58,150,0,0
高輪,697,38,205,46,67,110,0,0
品川,1110,66,324,59,61,148,0,0
大井,689,24,179,29,55,70,0,0
荏原,455,10,113,14,32,31,0,0
大森,1294,44,232,40,72,110,0,0
田園調布,567,7,106,10,39,23,0,0
蒲田,962,38,218,36,49,97,0,0
矢口,597,14,108,11,35,27,0,0
目黒,1224,33,254,30,74,65,1,0
世田谷,1265,17,242,32,95,52,0,0
玉川,807,6,172,12,52,41,0,0
成城,803,14,213,15,53,38,0,0
渋谷,3407,78,758,126,151,289,0,0
四谷,1031,17,233,28,49,78,1,0
牛込,1013,20,173,42,44,81,0,0
新宿,2139,86,565,66,143,150,0,0
中野,694,17,132,21,48,37,0,0
野方,357,9,68,8,24,25,0,0
杉並,938,8,206,21,74,41,0,0
荻窪,621,8,151,12,47,29,1,0
小石川,771,25,208,38,67,101,0,0
本郷,990,17,211,27,58,78,0,0
豊島,1443,27,335,35,84,86,0,0
池袋,859,8,186,6,47,50,0,0
王子,478,12,111,11,43,38,0,0
赤羽,576,16,148,22,37,36,0,0
滝野川,436,7,75,6,42,25,0,0
板橋,682,13,196,17,46,35,0,0
志村,1358,20,309,35,90,94,0,0
練馬,862,5,146,12,58,32,0,0
光が丘,538,9,118,9,31,19,0,0
石神井,774,7,176,6,40,30,0,0
上野,1347,21,297,21,63,77,0,0
浅草,1151,9,158,9,31,32,0,0
日本堤,500,7,105,10,19,15,0,0
荒川,659,15,174,15,35,42,1,0
尾久,339,3,63,7,15,19,0,0
千住,502,12,116,13,27,35,0,0
足立,1254,15,254,17,85,43,0,0
西新井,926,6,163,12,44,31,0,0
本所,1130,20,191,30,49,52,0,0
向島,557,11,72,15,31,26,0,0
深川,1538,115,470,106,130,229,0,0
城東,1486,47,290,40,96,105,0,0
本田,1039,13,196,18,65,33,0,0
金町,603,12,116,14,40,42,0,0
江戸川,701,8,137,5,44,21,0,0
葛西,992,13,208,21,58,59,0,0
小岩,594,5,121,9,43,12,0,0
受託地区,17614,251,4039,443,1218,1086,2,0
立川,1535,18,312,55,102,118,1,0
武蔵野,890,17,194,28,43,63,0,0
三鷹,780,10,154,20,52,37,0,0
府中,1060,31,245,48,77,107,0,0
昭島,529,8,123,12,38,34,0,0
調布,908,14,194,26,67,42,0,0
小金井,435,5,87,7,29,26,0,0
小平,759,6,190,19,62,40,0,0
東村山,607,10,109,11,43,28,0,0
国分寺,400,8,94,6,30,21,0,0
狛江,215,0,47,4,21,7,0,0
北多摩西部,689,2,123,12,50,27,0,0
清瀬,287,2,92,8,22,27,0,0
東久留米,235,5,61,3,13,8,0,0
西東京,648,13,142,11,51,26,0,0
八王子,2784,34,619,67,154,166,0,0
青梅,703,4,215,7,51,34,0,0
町田,1611,11,411,18,104,75,0,0
日野,690,12,135,20,53,51,1,0
福生,783,14,183,11,48,34,0,0
多摩,581,20,161,40,54,82,0,0
秋川,439,5,126,8,44,26,0,0
奥多摩,46,2,22,2,10,7,0,0
