認定番号,事業者名称,所在地,,電話番号,認定年月日,乗務員数,認定車両台数,その他
15,株式会社　東京博愛社,足立区,東綾瀬一丁目１６番１５号,03-3605-3388,2007/10/24,3,1,
16,日立自動車交通株式会社,足立区,綾瀬六丁目11番22号,03-5682-1122,2007/10/24,8,3,
38,株式会社　ケアフレンド,足立区,梅島一丁目13番17号,03-3889-8051,2007/10/24,,0,
38,株式会社　ケアフレンド,足立区,梅島一丁目24番5号　2Ｆ,03-5888-7930,2007/10/24,6,4,
160,東京福祉　株式会社,足立区,千住東二丁目6番1号109号,03-6677-5764,2020/3/9,5,4,
182,株式会社SANTEグループファーストケアサービス,足立区,保木間三丁目２４番１号,0120-294-245,2011/3/29,1,2,
195,足立移送サービス　ＡＩＳ１１９,足立区,花畑八丁目１５番１０号１０３号室,090-7209-0119,2011/12/20,2,1,
201,城山町工房　株式会社,足立区,梅田七丁目２２番９号　梅島ハイツ６０７号室,03-6806-4030,2012/5/10,2,2,
204,福祉移送サービス　かいんど,足立区,平野二丁目７番２０号,03-6906-5589,2022/7/12,1,1,
214,ケアドリーム１０１０（千寿）,足立区,千住四丁目３０番８号,03-6806-1261,2012/7/25,2,1,
223,株式会社　谷中トータル介護タクシー,足立区,谷中一丁目１２番９号,03-3629-1878,2012/9/27,2,1,
273,ケアタクシー　きむら,足立区,関原二丁目１番２５号　４０５号室,03-3852-0086,2014/2/10,2,1,
280,介護タクシー　まごころ,足立区,加平一丁目１７番１５号,090-7193-7833,2014/3/11,1,1,
328,株式会社みらいケアサービス,足立区,梅田六丁目２番９号,03-6806-4542,2016/3/30,1,3,
339,有限会社　エイジプロダクツ(あいしーえふ介護サービス),足立区,西新井六丁目３番２号,03-3856-0315,2016/9/7,1,1,
390,有限会社　レーザテクノジャパン,足立区,花畑五丁目２番８号,03-5851-5544,2019/6/7,1,1,
400,株式会社　ＩＷＡＮＡＧＡ,足立区,鹿浜二丁目４番２３号,03-6807-1026,2020/3/3,2,2,
403,介護タクシー　ねこさぽ,足立区,東和五丁目６番３号,080-7534-8181,2020/4/23,1,3,
406,エポック救急搬送（足立営業所）,足立区,鹿浜二丁目１９番７号ベルエポック１０１号室,090-8314-8690,2021/9/3,1,1,
