事故種別,内容,救急搬送人員（人）,,,,
落ちる,ベッド,148,,,,
落ちる,人,108,,,,
落ちる,階段,55,,,,
落ちる,ソファ,48,,,,
落ちる,椅子,41,,,,
ものがつまる等,包み・袋,93,,,,
ものがつまる等,たばこ,57,,,,
ものがつまる等,その他の玩具,43,,,,
ものがつまる等,電池,13,,,,
ものがつまる等,異物,12,,,,
ころぶ,ベビーカー,11,,,,
ころぶ,机・テーブル,10,,,,
ころぶ,その他の家具,5,,,,
ころぶ,窓・サッシ,4,,,,
ころぶ,段差,3,,,,
やけど,味噌汁・スープ,29,,,,
やけど,ポット・魔法瓶,17,,,,
やけど,お茶・コーヒー類,15,,,,
やけど,熱湯,8,,,,
やけど,麺類,7,,,,
ぶつかる,机・テーブル,7,,,,
ぶつかる,人,7,,,,
ぶつかる,その他の家具,5,,,,
ぶつかる,椅子,4,,,,
ぶつかる,床,4,,,,
はさむ・はさまれる,手動ドア,6,,,,
はさむ・はさまれる,ベビーカー,3,,,,
はさむ・はさまれる,その他の家具,2,,,,
はさむ・はさまれる,自転車,1,,,,
はさむ・はさまれる,自動車のドア,1,,,,
おぼれる,浴槽,12,,,,
おぼれる,シャワー,1,,,,
切る・刺さる,ナイフ,2,,,,
切る・刺さる,爪切り,2,,,,
切る・刺さる,スライサー,1,,,,
切る・刺さる,食器類,1,,,,
切る・刺さる,ハンガー,1,,,,
かまれる・刺される,動物等,4,,,,
