医療機関名,所在地,連絡先
東京逓信病院,千代田区富士見二丁目14番23号,03-5214-7111
医療法人社団宮?会木挽町医院,中央区銀座四丁目11番4号,03-3541-3800
医療法人財団正明会山田記念病院,墨田区石原二丁目20番1号,03-3624-1151
社会福祉法人賛育会賛育会病院,墨田区太平三丁目20番2号,03-3622-9191
中川医院,墨田区京島三丁目43番10号,03-3611-0014
医療法人社団仁寿会中村病院,墨田区八広二丁目1番1号,03-3612-7131
社会福祉法人同愛記念病院財団同愛記念病院,墨田区横網二丁目1番11号,03-3625-6381
医療法人社団伯鳳会東京曳舟病院,墨田区東向島二丁目27番1号,03-5655-1120
医療法人社団隆靖会墨田中央病院,墨田区京島三丁目67番1号,03-3617-1414
錦糸町駅ビル内科クリニック,墨田区江東橋三丁目14番5号,03-3633-0261
社会福祉法人あそか会あそか病院,江東区住吉一丁目18番1号,03-3632-0290
公益財団法人がん研究会有明病院,江東区有明三丁目8番31号,03-3520-0111
社会医療法人社団順江会江東病院,江東区大島六丁目8番5号,03-3685-2166
医療法人社団高裕会深川立川病院,江東区扇橋二丁目2番3号,03-3645-2101
医療法人社団修世会木場病院,江東区木場五丁目8番7号,03-3642-0032
医療法人社団青藍会鈴木病院,江東区塩浜二丁目7番3号,03-5617-5617
ひろせ内科外科クリニック,荒川区西日暮里五丁目27番2号,03-3803-6260
医療法人社団直和会平成立石病院,葛飾区立石五丁目1番9号,03-3692-2121
医療法人社団仁謙会立石医院,葛飾区立石七丁目24番4号,03-3691-0251
医療法人社団津端会京葉病院,江戸川区松江二丁目43番12号,03-3654-8211
医療法人社団晃山会松江病院,江戸川区松江二丁目6番15号,03-3652-3121
日本私立学校振興・共済事業団東京臨海病院,江戸川区臨海町一丁目4番2号,03-5605-8811
古畑病院,世田谷区池尻二丁目33番10号,03-3424-0705
医療法人社団徳静会横畠病院,中野区新井一丁目38番6号,03-3389-2531
社会福祉法人浄風園中野江古田病院,中野区江古田四丁目19番9号,03-3387-7321
東京医療生活協同組合新渡戸記念中野総合病院,中野区中央四丁目59番16号,03-3382-1231
立正佼成会附属佼成病院,杉並区和田二丁目25番1号,03-3383-1281
セイメイ内科,中野区中央一丁目25番5号,03-5389-2972
医療法人社団愛誠会のがたクリニック,中野区野方一丁目40番1号,03-3389-2201
ＮＴＴ東日本関東病院,品川区東五反田五丁目9番22号,03-3448-6111
公益財団法人河野臨牀医学研究所附属第三北品川病院,品川区北品川三丁目3番7号,03-3474-1831
医療法人社団おきの会旗の台病院,品川区旗の台五丁目17番16号,03-3781-1108
独立行政法人地域医療機能推進機構東京蒲田医療センター,大田区南蒲田二丁目19番2号,03-3738-8221
医療法人社団メドビュー東京ちどり病院,大田区千鳥二丁目39番10号,03-3758-2671
医療法人社団叡宥会安田病院,板橋区成増一丁目13番9号,03-3939-0101
医療法人社団和好会金子病院,板橋区南常盤台一丁目15番14号,03-3956-0145
医療法人財団朔望会常盤台外科病院,板橋区常盤台二丁目25番20号,03-3960-7211
板橋区医師会病院,板橋区高島平三丁目12番6号,03-3975-8151
医療法人社団明芳会板橋中央総合病院,板橋区小豆沢二丁目12番7号,03-3967-1181
公立福生病院,福生市加美平一丁目6番1号,042-551-1111
ささもとこどもクリニック,調布市飛田給一丁目41番5号,042-498-4153
医療法人社団桐光会調布病院,調布市下石原三丁目45番1号,042-484-2626
角田外科消化器科医院,三鷹市下連雀四丁目9番1号,0422-45-3251
?山医院,三鷹市上連雀四丁目2番29号,0422-43-0700
医療法人社団喜平会府中病院,府中市美好町一丁目22番,042-360-0033
医療法人社団慈敬会府中医王病院,府中市晴見町1番20号,042-362-4500
公益財団法人?原記念財団附属榊原記念病院,府中市朝日町三丁目16番1号,042-314-3111
医療法人社団山本・前田記念会前田病院,東久留米市中央町五丁目13番34号,042-473-2133
医療法人社団永生会永生病院,八王子市椚田町583番15号,042-661-4108
医療法人社団清智会清智会記念病院,八王子市子安町三丁目24番15号,042-624-5111
東京大学医学部附属病院,文京区本郷七丁目3番1号,03-3815-5411
日本大学病院,千代田区神田駿河台一丁目6番,03-3293-1711
日本大学医学部附属板橋病院,板橋区大谷口上町30番1号,03-3972-8111
東京医科大学病院,新宿区西新宿六丁目7番1号,03-3342-6111
東京医科大学八王子医療センター,八王子市館町1163番,042-665-5611
昭和大学病院,品川区旗の台一丁目5番8号,03-3784-8000
帝京大学医学部附属病院,板橋区加賀二丁目11番1号,03-3964-1211
東京都立広尾病院,渋谷区恵比寿二丁目34番10号,03-3444-1181
東京都立大塚病院,豊島区南大塚二丁目8番1号,03-3941-3211
東京都立駒込病院,文京区本駒込三丁目18番22号,03-3823-2101
セントラルクリニック,中央区日本橋茅場町二丁目7番9号,03-3669-1238
医療法人社団順清会日本橋むらやまクリニック,中央区東日本橋一丁目１番4号ユニゾ東日本橋一丁目ビル1階,03-3851-2473
独立行政法人地域医療機能推進機構東京城東病院,江東区亀戸九丁目13番1号,03-3685-1431
医療法人社団清湘会清湘会記念病院,江東区亀戸二丁目17番24号,03-3636-2301
医療法人社団哲仁会井口病院,足立区千住二丁目19番地,03-3881-2221
医療法人社団双仁会一盛病院,江戸川区小松川三丁目10番1号,03-3637-0050
医療法人社団芳史会松原整形外科･内科,世田谷区赤堤四丁目22番7号,03-5376-6200
斉藤医院,中野区江古田三丁目6番6号,03-3389-7288
医療法人社団渡辺会大場診療所,中野区大和町三丁目40番6号,03-3330-0073
ふじかわクリニック,調布市深大寺東町二丁目23番5号,042-440-8277
角田整形外科クリニック,武蔵野市境南町五丁目3番16号,0422-32-1110
医療法人社団幸隆会多摩丘陵病院,町田市下小山田町1491番地,042-797-1511
医療法人社団慶泉会町田慶泉病院,町田市南町田二丁目1番47号,042-795-1668
社会医療法人社団正志会南町田病院,町田市鶴間四丁目4番1号,042-799-6161
東京女子医科大学病院,新宿区河田町8番1号,03-3353-8111
東京女子医科大学附属足立医療センター,足立区江北四丁目33番1号,03-3857-0111
順天堂大学医学部附属練馬病院,練馬区高野台三丁目1番10号,03-5923-3111
東邦大学医療センター大森病院,大田区大森西六丁目11番1号,03-3762-4151
東京都立多摩総合医療センター,府中市武蔵台二丁目8番29号,042-323-5111
都立豊島病院,板橋区栄町33番1号,03-5375-1234
東京都立墨東病院,墨田区江東橋四丁目23番15号,03-3633-6151
公益財団法人ライフ・エクステンション研究所付属永寿総合病院,台東区東上野二丁目23番16号,03-3833-8381
社会医療法人社団医善会いずみ記念病院,足立区本木一丁目3番7号,03-5888-2111
社会医療法人社団森山医会森山記念病院,江戸川区北葛西四丁目3番1号,03-5679-1211
社会福祉法人仁生社江戸川病院,江戸川区東小岩二丁目24番18号,03-3673-1221
独立行政法人地域医療機能推進機構東京新宿メディカルセンター,新宿区津久戸町5番1号,03-3269-8111
富ヶ谷みらいクリニック,渋谷区富ヶ谷一丁目49番3号1F,03-3467-7171
医療法人財団健貢会総合東京病院,中野区江古田三丁目15番2号,03-3387-5421
医療法人社団生全会池袋病院,豊島区東池袋三丁目5番4号,03-3987-2431
杏林大学医学部付属病院,三鷹市新川六丁目20番2号,0422-47-5511
医療法人社団純鈴会やまもと眼科,西東京市田無町二丁目1番1号,042-460-2350
医療法人社団東光会西東京中央総合病院,西東京市芝久保町二丁目4番19号,042-464-1511
吾嬬医院,墨田区立花五丁目26番8号,03-3612-3475
順天堂大学医学部附属順天堂東京江東高齢者医療センター,江東区新砂三丁目3番20号,03-5632-3111
医療法人社団藤?病院,江東区南砂一丁目25番11号,03-3648-2111
医療法人社団桃医会小野内科診療所,江東区大島一丁目33番15号,03-3636-5505
医療法人社団成和会西新井病院,足立区西新井本町一丁目12番12号,03-5647-1700
竹の塚せいわ循環器・内科クリニック,足立区竹の塚六丁目21番1号,03-5831-6363
社会医療法人社団慈生会等潤病院,足立区一ツ家四丁目3番4号,03-3850-8711
医療法人財団桜会桜会病院,足立区千住桜木二丁目13番1号,03-3881-9211
医療法人財団健和会柳原病院,足立区千住曙町35番1号,03-3882-1928
医療法人社団白圭会ほしの内科クリニック,葛飾区東堀切三丁目19番8号,03-5629-9855
医療法人社団松和会望星新宿南口クリニック,渋谷区代々木二丁目9番2号,03-3376-0191
医療法人社団温光会内藤病院,渋谷区初台一丁目35番10号,03-3370-2351
医療法人社団信善会渡辺クリニック,渋谷区本町三丁目10番3号,03-3375-7361
医療法人社団はたがや協立会はたがや協立診療所,渋谷区幡ヶ谷三丁目9番11号,03-5304-0621
医療法人社団MYCサウスポイントMYクリニック,三鷹市下連雀三丁目43番23号,0422-46-7851
医療法人社団時正会佐々総合病院,西東京市田無町四丁目24番15号,042-461-1535
医療法人社団墨水会トルナーレ内科外科,中央区日本橋浜町三丁目3番1号,03-3664-7708
日本橋・重田クリニック,中央区日本橋室町四丁目2番13号,03-3241-4045
医療法人財団寿康会寿康会病院,江東区北砂二丁目1番22号,03-3645-9151
一般財団法人博慈会博慈会記念総合病院,足立区鹿浜五丁目11番1号,03-3899-1311
