月別,受付件数・計,受付件数・医療機関案内,受付件数・救急相談,受付件数・相談前救急要請,受付件数・かけ直し依頼,受付件数・その他
平成29年,"369,018",195707,172551,613,146,1
平成30年,"398,877",196012,201943,666,254,2
令和元年,"417,013",184425,231686,717,185,0
令和2年,"362,454",140261,221379,664,150,0
令和3年,"362,392",124228,236757,719,679,9
1月,"29,107",10119,18902,70,16,0
2月,"25,741",8274,17405,56,6,0
3月,"26,963",8933,17966,60,3,1
4月,"27,071",8962,18052,53,3,1
5月,"32,031",11442,20500,54,34,1
6月,"29,116",9328,19655,37,96,0
7月,"36,979",13476,23307,81,109,6
8月,"36,656",13853,22591,69,143,0
9月,"29,951",10080,19734,48,89,0
10月,"29,078",9515,19454,52,57,0
11月,"28,942",9542,19278,65,57,0
12月,"30,757",10704,19913,74,66,0
