,平成24年[ha],平成24年[%],平成25年[ha],平成25年[%],平成26年[ha],平成26年[%],平成27年[ha],平成27年[%],平成28年[ha],平成28年[%]
第一種住居地域,78.8,6.3,78.8,6.3,78.8,6.3,78.8,6.3,78.8,6.3
近隣商業地域,193.7,15.6,193.7,15.6,193.7,15.6,193.7,15.6,193.7,15.6
商業地域,321.4,25.9,321.4,25.9,321.4,25.9,321.4,25.9,321.4,25.9
準工業地域,595,47.9,595,47.9,595,47.9,595,47.9,595,47.9
工業地域,52.4,4.2,52.4,4.2,52.4,4.2,52.4,4.2,52.4,4.2
用途地域合計,1241.3,100,1241.3,100,1241.3,100,1241.3,100,1241.3,100
特別工業地区,259.8,20.9,259.8,20.9,259.8,20.9,259.8,20.9,259.8,20.9
高度地区（最高限度）,924.8,74.5,924.8,74.5,924.8,74.5,924.8,74.5,924.8,74.5
高度利用地区,51.4,4.1,51.4,4.1,51.4,4.1,51.4,4.1,51.4,4.1
特定街区,2.7,0.2,2.7,0.2,2.7,0.2,2.7,0.2,2.7,0.2
防火地域,840.2,67.7,840.2,67.7,840.2,67.7,840.2,67.7,840.7,67.7
準防火地域,401.1,32.3,401.1,32.3,401.1,32.3,401.1,32.3,400.6,32.3
中高層階住居専用地区,15,1.2,15,1.2,15,1.2,15,1.2,15,1.2
