NO,都道府県コード又は市区町村コード,都道府県名,市区町村名,イベント名,イベント名_カナ,イベント名_英語,開始日,開始時間,終了日,終了時間,開始日時特記事項,説明,料金_要否,料金（基本）,料金（詳細）,連絡先名称,連絡先電話番号,連絡先内線番号,主催者,共催・協力,場所名称,郵便番号,住所,方書,緯度,経度,アクセス方法,駐車場_有無,駐車場情報,定員_有無,定員,予約申込_要否,参加申込終了日,参加申込終了時間,参加申込方法,URL,備考,乳児（0～2歳）,幼児（3～6歳）,小学生（低学年）,小学生（中学年）,小学生（高学年）,中学生,高校生,その他住民等,参加条件_有無,参加条件_詳細,託児所_有無,託児所_詳細,画像,画像_ライセンス,画像_詳細,最終確認日
1700000003,130001,東京都,,東京消防出初式,トウキョウショウボウデゾメシキ,,2019-01-06,9:30,2019-01-06,11:50,開場8:00,東京消防出初式とは、消防車両分列行進、消防演技、音楽隊とカラーガーズ隊による演奏演技、江戸消防記念会による木遣り、はしご乗りなどを披露する新春恒例の防火・防災行事として、毎年多くの方々に親しまれています。屋内展示場では、消防車両の乗車体験、ＶＲ防災体験車、起震車による地震体験など、皆様に楽しみながら防災を理解していただけるコーナーも設けています。,0,,,東京消防庁,03-3212-2111,,東京消防庁,,東京ビッグサイト,135-0063,東京都江東区有明3-10,東京ビッグサイト　東展示場東側埋立地,35.633223,139.800744,りんかい線国際展示場駅徒歩７分・ゆりかもめ国際展示場正門駅徒歩３分,0,,1,"2,000",0,,,,,車椅子席は別途対応します。屋内展示場は定員なし。,1,1,1,1,1,1,1,1,0,,0,,,,,2019-03-28
2100000003,130001,東京都,,ブラインドサッカーをやってみよう！,ブラインドサッカーヲヤッテミヨウ,,2018-12-09,13:00,2018-12-09,17:00,,普段あまり目にすることがない障害者スポーツを、気軽に体験できる機会を提供することで、体験的に障害者を理解するきっかけ作りを目的とする。また、実際のスポーツ体験を通じて、障害者スポーツの面白さを知ってもらい、参加者を中心に障害者スポーツが広く認知されることもねらいとする。,1,540,（消費税込）,高尾の森わくわくビレッジ,042-652-0911,,東京都教育委員会・高尾の森わくわくビレッジ,京王グループ・東京ＹＭＣＡグループ,高尾の森わくわくビレッジ,193-0821,東京都八王子市川町55,,35.673388,139.276525,"電車・バス
○新宿から京王線・ＪＲ中央線「高尾駅」
○北口バスのりば西東京バス「高尾の森わくわくビレッジ」行き　終点下車すぐ（バス乗車時間約14分）
車
○中央自動車道　八王子ＪＣＴ経由　圏央道「八王子西ＩＣ」から約10分",1,,0,30,1,2018-12-03,23:59,往復はがき,http://www.wakuwaku-village.com/event/socialeducation/655.html,,0,0,0,1,1,1,0,0,0,小学３年生～中学３年生,0,,,,,2019-03-28
2100000008,130001,東京都,,第4回　東京都特別支援学校アートプロジェクト展　未来へ　心ゆさぶる色・形,ダイヨンカイトウキョウトトクベツシエンガッコウアートプロジェクトテンミライヘココロユサブルイロ・カタチ,,2018-12-05,11:00,2018-12-19,19:00,,東京都教育委員会は、「第4回　東京都特別支援学校アートプロジェクト展　未来へ　心ゆさぶる色・形」を開催しますので、お知らせします。 都内特別支援学校に在籍する児童・生徒の芸術活動への意欲喚起や才能の早期発見と伸長を図るとともに、広く都民に障害者への理解を促進するため、児童・生徒が制作した優れた作品を展示します。,0,,,教育庁指導部特別支援教育指導課,03-5320-6847,,東京都教育委員会,国立大学法人　東京藝術大学美術学部（共同事業者）、伊藤忠商事株式会社（共催）,伊藤忠青山アートスクエア,107-0061,東京都港区北青山2-3-1,Itochu Garden地下1階,35.672063,139.719902,"東京メトロ銀座線 『外苑前』駅出口4aより徒歩2分;東京メトロ銀座線・半蔵門線・都営地下鉄大江?線 『青山一丁目』駅出口1（北青山方面）より徒歩5分
",1,有料駐車場あり,0,,0,,,,,,1,1,1,1,1,1,1,1,0,,0,,,,,2019-03-28
2100000009,130001,東京都,,平成30年度　東京都特別支援学校　アートキャラバン展（第4期）,ヘイセイサンジュウネンドトウキョウトトクベツシエンガッコウアートキャラバンテン（ダイヨンキ）,,2018-12-22,10:00,2019-01-17,,①平成30年12月29日～平成31年1月3日及び平成31年1月10日は休館②平日は午後9時00分、土曜日・日曜日・祝日は午後5時30分まで開場,昨年度、東京都の全特別支援学校に通う子供たちの応募作品813点の中から、審査会を経て選ばれた50点の作品を、「第3回　東京都特別支援学校アートプロジェクト展」で展示しました。本キャラバン展は、その50点の作品の中から、東京藝術大学の監修の下、それぞれの会場の雰囲気などに合わせて、20～30点の作品を選んで展示している展覧会です。平成30年7月から平成31年1月まで、都内の4会場で実施します。子供たちの創造力が生み出す、芸術の世界を御堪能ください。,0,,,教育庁指導部特別支援教育指導課,03-5320-6847,,東京都教育庁,,東京都立多摩図書館,185-8520,東京都国分寺市泉町2-2-26,,35.698081,139.469872,JR中央線・武蔵野線「西国分寺駅」南口徒歩7分;京王バス寺85系統「いずみプラザ前」下車徒歩5分;ぶんバス万葉けやきルート「西国分寺駅東」下車　徒歩4分 ,1,都立多摩図書館は、普通車（18台）、自動二輪車（3台）を、有料時間貸し（昼間30分150円/夜間60分100円）として民間事業者が管理しております。閲覧エリアご利用者については、2時間無料となりますが、できるだけ公共交通機関での雷管をお願いしております。なお、身体障害者用として2台分を用意しております。,0,,0,,,,,,0,0,0,0,0,0,0,0,0,,0,,,,,2019-03-28
2100000010,130001,東京都,,現場探訪「“無思想人”大宅壮一の志を継ぐ雑誌図書館を訪ねる」,ゲンバタンホウ「”ムシソウジン”オオヤソウイチノココロザシヲツグザッシトショカンヲタズネル」,,2018-12-15,14:00,2018-11-15,16:00,,日本で最初の雑誌図書館「大宅壮一文庫」を訪ねて、文庫職員の案内で迷宮のような書庫を巡ります。同文庫が作成・提供している雑誌記事索引データベースを使った、記事の検索体験もできます。,0,,,東京都立多摩図書館,042-359-4020,,東京都立多摩図書館,,公益財団法人大宅壮一文庫,156-0056,世田谷区八幡山3-10-20,,35.66455,139.619277,京王線「八幡山」駅下車徒歩8分,1,開館日の午前１０時～午後６時;使用料無料;駐車台数７台;利用車両は四輪乗用車に限ります,0,10,1,2018-12-10,,"①東京都立図書館ホームページhttps://www.library.metro.tokyo.jp/②電話042-359-4020③東京都立多摩図書館　相談カウンター（1階）
",,※現地集合、現地解散,1,1,1,1,0,1,1,1,1,,0,,,,,2019-03-28
2100000011,130001,東京都,,連続ワークショップ「中央線が好きだ。を書く」（第1回 『中央線が好きだ。マガジン』の裏側）,レンゾクワークショップ「チュウオウセンガスキダ。ヲカク」（ダイ1カイ『チュウオウセンガスキダ。マガジンノウラガワ）,,2019-01-12,14:00,2019-01-12,16:00,,"フリーマガジン『中央線が好きだ。マガジン』の記事執筆に携わっている3人の講師による、オリジナルのウェブマガジン記事を作成するワークショップです。あなたの考える中央線の一押しポイントを、雑誌記事にしてみませんか？※『中央線が好きだ。マガジン』は、JR東日本八王子支社が発行しているフリーペーパーで、『散歩の達人』（交通新聞社）による特別編集版です。
",0,,,東京都立多摩図書館,042-359-4020,,東京都立多摩図書館,,東京都立多摩図書館,185-0024,東京都国分寺市泉町二丁目2番26号,,35.698081,139.469872,"JR中央線・武蔵野線「西国分寺駅」南口徒歩7分;京王バス寺85系統「いずみプラザ前」下車徒歩5分;ぶんバス万葉けやきルート「西国分寺駅東」下車　徒歩4分
",1,都立多摩図書館は、普通車（18台）、自動二輪車（3台）を、有料時間貸し（昼間30分150円/夜間60分100円）として民間事業者が管理しております。閲覧エリアご利用者については、2時間無料となりますが、できるだけ公共交通機関での雷管をお願いしております。なお、身体障害者用として2台分を用意しております。,1,30,1,2018-12-22,,①東京都立図書館ホームページhttps://www.library.metro.tokyo.jp/ ②電話042-359-4020③東京都立多摩図書館　相談カウンター（1階）,,①各講座後に自宅での課題作成があります。②記事にしたいテーマをあらかじめお考えの上、第1回ワークショップにご出席ください。 （テーマ例：「中央線の列車」「中央線沿線の散歩スポット」等、中央線に関すること。）③3回すべてに参加していただくことが必要です。④応募多数の場合は抽選となります。,1,1,1,1,1,1,1,1,1,,0,,,,,2019-03-28
2100000012,130001,東京都,,連続ワークショップ「中央線が好きだ。を書く」（第2回）「中央線が好きだ！」が伝わる記事の書き方、取材の仕方） ,レンゾクワークショップ「チュウオウセンガスキダ。ヲカク」（ダイ２カイ「チュウオウセンガスキダ！ガツタワルキジノカキカタ、シュザイノシカタ）,,2019-01-26,14:00,2019-01-26,16:00,,フリーマガジン『中央線が好きだ。マガジン』の記事執筆に携わっている3人の講師による、オリジナルのウェブマガジン記事を作成するワークショップです。あなたの考える中央線の一押しポイントを、雑誌記事にしてみませんか？※『中央線が好きだ。マガジン』は、JR東日本八王子支社が発行しているフリーペーパーで、『散歩の達人』（交通新聞社）による特別編集版です。 ,0,,,東京都立多摩図書館 ,042-359-4020 ,,東京都立多摩図書館 ,,東京都立多摩図書館2階セミナールーム,185-0024,東京都国分寺市泉町二丁目2番26号,,35.698081,139.469872,JR中央線・武蔵野線「西国分寺駅」南口徒歩7分;京王バス寺85系統「いずみプラザ前」下車徒歩5分;ぶんバス万葉けやきルート「西国分寺駅東」下車　徒歩4分 ,1,都立多摩図書館は、普通車（18台）、自動二輪車（3台）を、有料時間貸し（昼間30分150円/夜間60分100円）として民間事業者が管理しております。閲覧エリアご利用者については、2時間無料となりますが、できるだけ公共交通機関での雷管をお願いしております。なお、身体障害者用として2台分を用意しております。,1,30,1,2018-12-22,,①東京都立図書館ホームページhttps://www.library.metro.tokyo.jp/ ②電話042-359-4020③東京都立多摩図書館　相談カウンター（1階）,,①各講座後に自宅での課題作成があります。②記事にしたいテーマをあらかじめお考えの上、第1回ワークショップにご出席ください。 （テーマ例：「中央線の列車」「中央線沿線の散歩スポット」等、中央線に関すること。）③3回すべてに参加していただくことが必要です。④応募多数の場合は抽選となります,1,1,1,1,1,1,1,1,1,,0,,,,,2019-03-28
2100000013,130001,東京都,,連続ワークショップ「中央線が好きだ。を書く」（第3回 記事が完成！発表会） ,レンゾクワークショップ「チュウオウセンガスキダ。ヲカク」（ダイ3カイキジガカンセイ！ハッピョウカイ）,,2019-02-09,14:00,2019-02-09,16:00,,フリーマガジン『中央線が好きだ。マガジン』の記事執筆に携わっている3人の講師による、オリジナルのウェブマガジン記事を作成するワークショップです。あなたの考える中央線の一押しポイントを、雑誌記事にしてみませんか？※『中央線が好きだ。マガジン』は、JR東日本八王子支社が発行しているフリーペーパーで、『散歩の達人』（交通新聞社）による特別編集版です。 ,0,,,東京都立多摩図書館 ,042-359-4020 ,,東京都立多摩図書館 ,,東京都立多摩図書館 ,185-0024,東京都国分寺市泉町二丁目2番26号 ,,35.698081,139.469872,JR中央線・武蔵野線「西国分寺駅」南口徒歩7分;京王バス寺85系統「いずみプラザ前」下車徒歩5分;ぶんバス万葉けやきルート「西国分寺駅東」下車　徒歩4分 ,1,都立多摩図書館は、普通車（18台）、自動二輪車（3台）を、有料時間貸し（昼間30分150円/夜間60分100円）として民間事業者が管理しております。閲覧エリアご利用者については、2時間無料となりますが、できるだけ公共交通機関での雷管をお願いしております。なお、身体障害者用として2台分を用意しております。,1,30,1,2018-12-22,,①東京都立図書館ホームページhttps://www.library.metro.tokyo.jp/ ②電話042-359-4020③東京都立多摩図書館　相談カウンター（1階）,,①各講座後に自宅での課題作成があります。②記事にしたいテーマをあらかじめお考えの上、第1回ワークショップにご出席ください。 （テーマ例：「中央線の列車」「中央線沿線の散歩スポット」等、中央線に関すること。）③3回すべてに参加していただくことが必要です。④応募多数の場合は抽選となります。,1,1,1,1,1,1,1,1,1,,0,,,,,2019-03-28
0700000001,130001,東京都,,障害者フライングディスク体験教室【府中けやきの森学園】,ショウガイシャフライングディスクタイケンキョウシツ【フチュウケヤキノモリガクエン】,,2018-12-02,10:00,2018-12-02,11:30,受付９時３０分,障害の有無に関わらず、みんなで楽しめるフライングディスクが体験できます。ペットボトルタワーに向かって投げるなどのゲームで楽しく体を動かしませんか。各回２０名の先着順です。参加できる日にぜひお申込み下さい。,0,,,公益財団法人東京都スポーツ文化事業団都立学校活用促進担当,03-6804-5636,,東京都,公益財団法人東京都スポーツ文化事業団（事業実施）、東京都障害者フライングディスク協会（協力）,東京都立府中けやきの森学園,183-0003,東京都府中市朝日町3-14-1,,35.669503,139.52303,"京王線「飛田給」駅から徒歩約１５分;送迎バスもご用意しています。最寄駅（飛田給駅）⇔会場の区間のみ。
※要予約・先着順",1,駐車場には限りがございます。（予約不可）  ,1,20,1,,,①電話②FAX③郵送④インターネット(東京都スポーツ文化事業団ホームページ　http://www.tef.or.jp/school/ ),,①ボランティアも同時募集します。会場誘導等の業務はもちろん、障害者の方と一緒に楽しい時間を過ごしましょう。②健康状態には十分に留意し、自身または保護者の責任において参加してください。 ③参加者の傷害保険は運営者側で加入いたします。  ,0,0,1,1,1,1,1,1,1,対象：障害のある方（小学生以上）、フライングディスクに興味のある方（小学生以上）※介助が必要な方は介助者同伴の上、お申込みください。,0,,,,,2019-03-28
0700000002,130001,東京都,,障害者フライングディスク体験教室【高島特別支援学校】,ショウガイシャフライングディスクタイケンキョウシツ【タカシマトクベツシエンガッコウ】,,2018-12-02,10:00,2018-12-02,11:30,受付９時３０分,障害の有無に関わらず、みんなで楽しめるフライングディスクが体験できます。ペットボトルタワーに向かって投げるなどのゲームで楽しく体を動かしませんか。各回２０名の先着順です。参加できる日にぜひお申込み下さい。,0,,,公益財団法人東京都スポーツ文化事業団都立学校活用促進担当,03-6804-5636,,東京都,公益財団法人東京都スポーツ文化事業団（事業実施）、東京都障害者フライングディスク協会（協力）,東京都立高島特別支援学校,175-0082,東京都板橋区高島平3-7-2,,35.786414,139.65437,都営三田線新高島平駅から徒歩10分;国際興業バス　　　高島高校から徒歩2分,1,駐車場には限りがございます。（予約不可）  ,1,20,1,,,①電話②FAX③郵送④インターネット(東京都スポーツ文化事業団ホームページ　http://www.tef.or.jp/school/ ),,①ボランティアも同時募集します。会場誘導等の業務はもちろん、障害者の方と一緒に楽しい時間を過ごしましょう。②健康状態には十分に留意し、自身または保護者の責任において参加してください。 ③参加者の傷害保険は運営者側で加入いたします。  ,0,0,1,1,1,1,1,1,1,対象：障害のある方（小学生以上）、フライングディスクに興味のある方（小学生以上）※介助が必要な方は介助者同伴の上、お申込みください。,0,,,,,2019-03-28
