"区分","名称","所在地","郵便番号","経営者","電話番号","許可年月日","種別","緯度","経度"
"宿泊施設","ＴＨＥ　ＢＬＯＳＳＯＭ　ＨＩＢＩＹＡ","東京都港区新橋一丁目1番13号18～27階","105-0004","ＪＲ九州ホテルズ株式会社","03-3591-8702","20190807","旅館・ホテル","35.668786","139.75672"
"宿泊施設","第一ホテル東京","東京都港区新橋一丁目2番6号","105-0004","株式会社阪急阪神ホテルズ","03-3501-4411","19930329","旅館・ホテル","35.6687253","139.757357"
"宿泊施設","からくさホテルプレミア東京銀座","東京都港区新橋一丁目6番6号","105-0004","株式会社からくさホテルズ東京","03-3573-6602","20190327","旅館・ホテル","35.667099","139.761565"
"宿泊施設","Ｂｏｏｋ　Ｔｅａ　Ｂｅｄ（ブック　ティー　ベッド）","東京都港区新橋一丁目9番1号新橋二光ビル5階","105-0004","株式会社トップラン",,"20161130","簡易宿所","35.6673617","139.760123"
"宿泊施設","相鉄フレッサイン新橋日比谷口","東京都港区新橋一丁目14番3号","105-0004","株式会社相鉄ホテルマネジメント","03-5157-2031","20130124","旅館・ホテル","35.6682476","139.757607"
"宿泊施設","相鉄フレッサイン新橋日比谷口別館","東京都港区新橋一丁目15番4号","105-0004","株式会社相鉄ホテルマネジメント","03-5157-2031","20160916","旅館・ホテル","35.6680365","139.757523"
"宿泊施設","ダイワロイネットホテル新橋","東京都港区新橋一丁目17番2号2階～14階","105-0004","ダイワロイヤル株式会社","03-3500-5080","20190417","旅館・ホテル","35.668458","139.757265"
"宿泊施設","新橋アーバンホテル","東京都港区新橋二丁目11番9号","105-0004","株式会社タイレル","03-3591-3066","20190424","旅館・ホテル","35.667219","139.755261"
"宿泊施設","チェックイン新橋","東京都港区新橋二丁目15番17号","105-0004","株式会社チェックイン","03-3501-5100","20040604","旅館・ホテル","35.6665589","139.756099"
"宿泊施設","ホテルユニゾ新橋","東京都港区新橋三丁目5番2号","105-0004","ユニゾホテル株式会社","03-3591-3351","20011228","旅館・ホテル","35.6664116","139.754976"
"宿泊施設","カンデオホテルズ東京新橋","東京都港区新橋三丁目6番8号","105-0004","株式会社カンデオ・ホスピタリティ・マネジメント","03-5510-3400","20171222","旅館・ホテル","35.6659867","139.755551"
"宿泊施設","ホテル新橋三番館","東京都港区新橋三丁目10番9号","105-0004","株式会社チェックイン","03-3434-1113","20111129","旅館・ホテル","35.6660589","139.755624"
"宿泊施設","アネックスチェックイン新橋","東京都港区新橋三丁目10番10号","105-0004","株式会社アネックスチェックイン","03-5777-6930","20050525","旅館・ホテル","35.666058","139.755626"
"宿泊施設","Ｈｏｔｅｌ　ｏｗｌ　Ｔｏｋｙｏ　Ｓｈｉｎｂａｓｈｉ
（ホテル　オウル　トーキョー　シンバシ）","東京都港区新橋三丁目15番7号2階","105-0004","有限会社進栄商事","03-6312-8213","20190107","簡易宿所","35.665305","139.755962"
"宿泊施設","カプセルホテル新橋","東京都港区新橋三丁目16番4号","105-0004","有限会社西原商事","03-3434-0022","19910520","簡易宿所","35.6657895","139.757279"
"宿泊施設","カプセルイン新橋","東京都港区新橋三丁目21番3号","105-0004","有限会社セント・オルバス","03-3437-5511","20181023","簡易宿所","35.6652396","139.758026"
"宿泊施設","カプセルホテル安心お宿新橋店","東京都港区新橋三丁目21番6号","105-0004","株式会社サンザ","03-5405-1251","20101124","簡易宿所","35.6650258","139.758007"
"宿泊施設","相鉄フレッサイン新橋烏森口","東京都港区新橋四丁目10番2号","105-0004","株式会社相鉄ホテルマネジメント","03-3578-3610","20080414","旅館・ホテル","35.6648702","139.756304"
"宿泊施設","レインボーホテル","東京都港区新橋四丁目15番6号","105-0004","小林商事有限会社","03-3433-0006","19830110","簡易宿所","35.6644897","139.756896"
"宿泊施設","ＴＨＥ　ＨＯＴＥＬ　ＳＨＩＮＢＡＳＨＩ（ザ　ホテル　シンバシ）","東京都港区新橋四丁目20番1号","105-0004","株式会社オフィス・フォーワン","03-6721-5586","20140403","旅館・ホテル","35.6641425","139.757285"
"宿泊施設","東急ステイ新橋","東京都港区新橋四丁目23番1号","105-0004","東急ステイサービス株式会社","03-3434-8109","20140509","旅館・ホテル","35.6634954","139.756968"
"宿泊施設","ｂｎｂ＋ 和　－Ｓｈｉｎｂａｓｈｉ－
（ビーエヌビープラス　ワ　－シンバシ－）","東京都港区新橋五丁目1番5号ル・グラシエルＢＬＤＧ．11　3階","105-0004","株式会社花祥","03-5843-8959","20171129","簡易宿所","35.664169","139.753532"
"宿泊施設","スーパーホテル新橋・烏森口","東京都港区新橋五丁目16番4号","105-0004","株式会社スーパーホテル","03-3431-9000","20080422","旅館・ホテル","35.6625316","139.756201"
"宿泊施設","ｂｎｂ＋　Ｐｏｓｔ　ｔｏｗｎ　Ｓｈｉｎｂａｓｈｉ
（ビーエヌビープラスポストタウンシンバシ）","東京都港区新橋五丁目20番1号ル・グラシエルＢＬＤＧ．5　4階","105-0004","合同会社カサノヴァ","03-6452-9117","20171227","簡易宿所","35.66355","139.753912"
"宿泊施設","Ｙホテル新橋","東京都港区新橋五丁目28番7号","105-0004","奕和胤仕合同会社","080-5653-0202","20181204","旅館・ホテル","35.662706","139.755079"
"宿泊施設","Ｒｏｏｍｓ(ルームス)","東京都港区新橋五丁目29番2号新正堂第2ビル2階","105-0004","文寅植",,"20180110","簡易宿所","35.662559","139.755735"
"宿泊施設","ホテル１８９９東京","東京都港区新橋六丁目4番1号","105-0004","株式会社１８９９ホスピタリティ","03-3432-1899","20181122","旅館・ホテル","35.662386","139.753826"
"宿泊施設","アパホテル＜新橋御成門＞","東京都港区新橋六丁目10番3号","105-0004","アパホテル株式会社","03-5425-3111","20110608","旅館・ホテル","35.6614233","139.755279"
"宿泊施設","ＨＯＴＥＬ ＬｉＶＥＭＡＸ新橋（ホテルリブマックス）","東京都港区新橋六丁目20番1号","105-0004","株式会社リブ・マックス","03-5425-1212","20121122","旅館・ホテル","35.6612206","139.754441"
"宿泊施設","ホテルウィングインターナショナル新橋御成門","東京都港区新橋六丁目20番8号","105-0004","株式会社フォーブス","03-3433-0122","20190920","旅館・ホテル","35.660839","139.754554"
"宿泊施設","ザ　ロイヤルパークホテル　東京汐留","東京都港区東新橋一丁目6番3号","105-0021","株式会社ロイヤルパークホテルズアンドリゾーツ","03-6253-1111","20030611","旅館・ホテル","35.6641426","139.760593"
"宿泊施設","パークホテル東京","東京都港区東新橋一丁目7番1号","105-0021","株式会社芝パークホテル","03-6252-1111","20030725","旅館・ホテル","35.6632316","139.759646"
"宿泊施設","コンラッド東京","東京都港区東新橋一丁目9番1号","105-0021","ＭＴ＆ヒルトンホテル株式会社","03-6388-8000","20050614","旅館・ホテル","35.6631622","139.761204"
"宿泊施設","ヴィラフォンテーヌグランド東京汐留","東京都港区東新橋一丁目9番2号","105-0021","住友不動産ヴィラフォンテーヌ株式会社","03-3569-2220","20070314","旅館・ホテル","35.6623122","139.76024"
"宿泊施設","豪華カプセルホテル安心お宿プレミア新橋汐留店","東京都港区東新橋二丁目7番8号","105-0021","株式会社サンザ","03-6777-0120","20161108","簡易宿所","35.6617567","139.756707"
