"年度","区分","０歳児[人]","１歳児[人]","２歳児[人]","３歳児[人]","４歳児[人]","５歳児[人]","学齢児[人]","その他[人]","合計[人]"
"2017","相談","22","46","53","39","51","24","16","6","257"
"2017","指導・訓練","15","23","34","41","54","45","0","0","212"
"2017","合計","37","69","87","80","105","69","16","6","469"
"2018","相談","22","38","73","42","33","29","14","7","258"
"2018","指導・訓練","16","27","48","49","70","61","0","0","271"
"2018","合計","38","65","121","91","103","90","14","7","529"
"2019","相談","31","45","83","69","51","30","36","34","379"
"2019","指導・訓練","18","40","72","94","87","92","0","0","403"
"2019","合計","49","85","155","163","138","122","36","34","782"

"令和4年度港区行政資料集　こども療育パオでの発達・療育相談事業利用者数","Ver202203",,,,,,,,,
