全国地方公共団体コード,ID,地方公共団体名,地区名,ゴミの品目,ゴミの品目_カナ,ゴミの品目_英字,分別区分,注意点,備考,粗大ごみ回収料金
132292,132292GMLT000076,西東京市,全域,24時間風呂循環装置（室内用）,24ジカンフロジュンカンソウチ,24-hour bath circulation system (for indoor use),粗大ごみ,,申込制 受付専用電話（042-421-5411）処理手数料 500円,
132292,132292GMLT000077,西東京市,全域,2段ベッド,2ダンベッド,Bunk beds,粗大ごみ,,"申込制 受付専用電話（042-421-5411）処理手数料 2,000円",
132292,132292GMLT000908,西東京市,全域,アイスクリームの容器（紙製）,アイスクリームノヨウキ,Container for ice cream (paper),可燃ごみ,,指定収集袋（黄色）で出してください。,
132292,132292GMLT000909,西東京市,全域,アイスクリームの容器（プラスチック製）,アイスクリームノヨウキ,Ice cream containers (plastic),プラスチック容器包装類,,中身を空にし、すすいで、指定収集袋（透明）で出してください。,
132292,132292GMLT000910,西東京市,全域,アイスピック,アイスピック,Ice pick,有害ごみ・危険物,,不燃ごみの日に透明・半透明の袋で、収集の際、危険がないようにして出してください。,
132292,132292GMLT000911,西東京市,全域,アイス枕（冷却枕）,アイスマクラ,Ice Pillow (Cooling Pillow),不燃ごみ,,指定収集袋（黄色）で出してください。,
132292,132292GMLT000912,西東京市,全域,アイロン,アイロン,Clothes Iron,小型家電,,敷地内の収集しやすい場所に出してください。,
132292,132292GMLT000913,西東京市,全域,アイロン台,アイロンダイ,Ironing board,粗大ごみ,,申込制 受付専用電話（042-421-5411）処理手数料 200円,
132292,132292GMLT000914,西東京市,全域,空き缶,アキカン,Empty can,缶,,中身を空にして、すすいで、敷地内の収集しやすい場所にカゴ等に入れて出してください。,
132292,132292GMLT000915,西東京市,全域,空きびん,アキビン,Empty bottle,びん・スプレー缶・ライター,,中身を空にして、すすいで、敷地内の収集しやすい場所にカゴ等に入れて出してください。,
132292,132292GMLT000916,西東京市,全域,アクリル繊維,アクリルセンイ,Acrylic fiber,不燃ごみ,,指定収集袋（黄色）で出してください。,
132292,132292GMLT000917,西東京市,全域,アコーディオンカーテン,アコーディオンカーテン,Accordion curtain,粗大ごみ,,申込制 受付専用電話（042-421-5411）処理手数料 500円,
132292,132292GMLT000918,西東京市,全域,足拭きマット,アシフキマット,Place mat for wiping one's feet,可燃ごみ,,指定収集袋（黄色）で出してください。,
132292,132292GMLT000919,西東京市,全域,足踏みミシン,アシブミミシン,Treadle sewing machine,粗大ごみ,,"申込制 受付専用電話（042-421-5411）処理手数料 1,000円",
132292,132292GMLT000920,西東京市,全域,アタッシュケース,アタッシュケース,Attache case,粗大ごみ,,申込制 受付専用電話（042-421-5411）処理手数料 200円,
132292,132292GMLT000921,西東京市,全域,アダプター（AC）,アダプター,Adapter (AC),金属類,,敷地内の収集しやすい場所に出してください。,
132292,132292GMLT000922,西東京市,全域,圧力鍋,アツリョクナベ,Pressure cooker,金属類,,敷地内の収集しやすい場所にカゴ等に入れて出してください。,
132292,132292GMLT000928,西東京市,全域,油（機械用）,アブラ,Oil (for machinery),市で収集できない物,,専門業者や購入先にご相談を、または、廃棄物処理業者を紹介します。（固めるなどすれば、可燃ごみ、容器は不燃ごみ）,
132292,132292GMLT000929,西東京市,全域,油（食用）,アブラ,Oil (edible),廃食用油,,もれないようにふたの付いた容器に入れて、敷地内の収集しやすい場所に出してください。,
132292,132292GMLT000924,西東京市,全域,油こし紙,アブラコシシ,Oil strainer,可燃ごみ,,指定収集袋（黄色）で出してください。,
132292,132292GMLT000925,西東京市,全域,油の容器（ガラス）,アブラノヨウキ,Oil container (glass),不燃ごみ,,指定収集袋（黄色）で出してください。（きれいに洗ったものは「びん」の日に出してください。）,
132292,132292GMLT000926,西東京市,全域,油の容器（金属）,アブラノヨウキ,Oil containers (metal),金属類,,敷地内の収集しやすい場所にカゴ等に入れて出してください。（汚れの落ちないものは不燃ごみ）,
132292,132292GMLT000927,西東京市,全域,油の容器（プラスチック）,アブラノヨウキ,Oil containers (plastic),不燃ごみ,,指定収集袋（黄色）で出してください。（きれいに洗ったものはプラスチック容器包装類）,
132292,132292GMLT000930,西東京市,全域,雨具（カッパ）,アマグ,Raincoat,不燃ごみ,,指定収集袋（黄色）で出してください。,
132292,132292GMLT000933,西東京市,全域,網（果物・野菜用以外のもの）,アミ,Nets (other than for fruits and vegetables),不燃ごみ,,指定収集袋（黄色）で出してください。,
132292,132292GMLT000934,西東京市,全域,網（果物・野菜用）,アミ,Nets (for fruits and vegetables),プラスチック容器包装類,,指定収集袋（透明）で出してください。,
132292,132292GMLT000931,西東京市,全域,編み機,アミキ,Knitting machine,粗大ごみ,,申込制 受付専用電話（042-421-5411）処理手数料 500円,
132292,132292GMLT000932,西東京市,全域,網戸,アミド,Screen door,粗大ごみ,,申込制 受付専用電話（042-421-5411）処理手数料 200円,
132292,132292GMLT000935,西東京市,全域,あめの包み・紙（紙製）,アメノツツミ・シ,"Candy wrappers, paper (paper)",古紙・古布類（衣類等）,,雑誌・雑紙類と一緒に、敷地内の収集しやすい場所に出してください。（アルミ製のものは不燃ごみ）,
132292,132292GMLT000936,西東京市,全域,あめの包み・袋（ビニール製）,アメノツツミ・フクロ,Candy wrappers and bags (plastic),プラスチック容器包装類,,指定収集袋（透明）で出してください。,
132292,132292GMLT000937,西東京市,全域,アルカリ電池,アルカリデンチ,Alkali battery,有害ごみ・危険物,,不燃ごみの日に透明・半透明の袋に入れて出してください。,
132292,132292GMLT000938,西東京市,全域,アルバム（金属・ビニールあり）,アルバム,Album (with metal and vinyl),不燃ごみ,,指定収集袋（黄色）で出してください。,
132292,132292GMLT000939,西東京市,全域,アルミコーティング紙,アルミコーティングシ,Aluminum coated paper,古紙・古布類（衣類等）,,アルミコーティング紙のみまとめて、敷地内の収集しやすい場所に出してください。（一般の古紙とは別にしてください。）,
