"年度[西暦]","款","予算現額[千円]","支出済額[千円]"
"2017","総務費",,"616438"
"2017","保険給付費",,"13520830"
"2017","地域支援事業費",,"897537"
"2017","基金積立金",,"255742"
"2017","諸支出金",,"189555"
"2017","公債費",,"21784"
"2017","歳出合計",,"15501887"
"2018","総務費",,"663064"
"2018","保険給付費",,"13708516"
"2018","地域支援事業費",,"902793"
"2018","基金積立金",,"256749"
"2018","諸支出金",,"261536"
"2018","公債費",,
"2018","歳出合計",,"15792658"
"2019","総務費",,"593858"
"2019","保険給付費",,"14240212"
"2019","地域支援事業費",,"890966"
"2019","基金積立金",,"400747"
"2019","諸支出金",,"80194"
"2019","公債費",,
"2019","歳出合計",,"16205977"
"2020","総務費","838506","699939"
"2020","保険給付費","16436043","14547340"
"2020","地域支援事業費","950254","773240"
"2020","基金積立金","450400","450399"
"2020","諸支出金","29325","19522"
"2020","公債費",,
"2020","歳出合計","18704528","16490442"
"2021","総務費","679948","645771"
"2021","保険給付費","15231595","14756247"
"2021","地域支援事業費","948753","843064"
"2021","基金積立金","643985","643594"
"2021","諸支出金","456432","455931"
"2021","公債費",,
"2021","歳出合計","17960713","17344607"

"令和4年度港区行政資料集　介護保険会計歳出決算","Ver202203",,
