試算項目,試算の考え方,需要増加額(億円)
1新規恒久施設・選手村の後利用、東京のまちづくり、環境・持続可能性,,22572
1新規恒久施設・選手村の後利用、東京のまちづくり、環境・持続可能性／新規恒久施設・選手村の後利用,新規恒久施設の後利用に伴う消費支出や維持管理費、既存体育施設の改修予定費、選手村の後利用に伴う環境整備や消費支出を需要増加額とする。（※1）,
1新規恒久施設・選手村の後利用、東京のまちづくり、環境・持続可能性／大会関連交通インフラ整備,大会に関連する道路や自転車走行空間の整備、ＪＲ駅改良工事、東京メトロや都営交通のプロジェクト、ＢＲＴ等の整備費を需要増加額とする。(※2),
1新規恒久施設・選手村の後利用、東京のまちづくり、環境・持続可能性／バリアフリー対策,大会を契機とするバリアフリー化の推進に係る都道の無電柱化、都道・国道のバリアフリー化、鉄道駅のホームドア設置や段差解消、ユニバーサルデザインタクシーの導入を需要増加額とする。（※3）,
1新規恒久施設・選手村の後利用、東京のまちづくり、環境・持続可能性／水素社会の実現,水素ステーションの整備、燃料電池自動車の普及による市場規模の拡大を需要増加額とする。（※3）,
1新規恒久施設・選手村の後利用、東京のまちづくり、環境・持続可能性／暑さ対策,大会に向けて整備する都道の遮熱性・保水性舗装の整備費を需要増加額とする。(※3),
2スポーツ、都民参加・ボランティア、文化、教育・多様性,,8159
2スポーツ、都民参加・ボランティア、文化、教育・多様性／スポーツ実施者・観戦者の増加,大会を契機として増加するスポーツ実施者・観戦者のスポーツ関連消費支出を需要増加額とする。(※3),
2スポーツ、都民参加・ボランティア、文化、教育・多様性／障害者スポーツの振興,大会開催に向けた障害者スポーツの普及啓発や環境整備等のための都の投資として、東京都障害者スポーツ振興基金を需要増加額とする。,
2スポーツ、都民参加・ボランティア、文化、教育・多様性／都民参加・ボランティア活動者の増加,ボランティア活動者の増加によるボランティア関連支出の増加や事前キャンプに伴う支出を需要増加額とする。（※3）,
2スポーツ、都民参加・ボランティア、文化、教育・多様性／芸術文化の振興に向けた投資,芸術文化の振興や国内外への日本文化の魅力を発信するための都の投資として、東京都芸術文化振興基金を需要増加額とする。,
2スポーツ、都民参加・ボランティア、文化、教育・多様性／文化イベント観客の増加,大会を契機として実施される文化イベントに伴う観客の消費支出を需要増加額とする。(※4),
2スポーツ、都民参加・ボランティア、文化、教育・多様性／外国人留学生の増加,大会を契機として増加する外国人留学生の消費支出を需要増加額とする。（※5）,
3経済の活性化・最先端技術の活用,,91666
3経済の活性化・最先端技術の活用／おもてなし環境整備,訪都外国人旅行者の受入環境を整備するための都の投資として、東京都おもてなし・観光基金を需要増加額とする。,
3経済の活性化・最先端技術の活用／観光需要の拡大,大会を契機として増加する訪都外国人旅行者や訪都国内旅行者の消費支出を需要増加額とする。（※6）,
3経済の活性化・最先端技術の活用／国際ビジネス拠点形成,国家戦略特区における再開発事業への投資や外国企業の進出等による対内直接投資の増加、外国人ビジネスパーソンの増加による消費支出を需要増加額とする。（※7）,
3経済の活性化・最先端技術の活用／中小企業の振興,大会を契機とした中小企業の輸出拡大を需要増加額とする。(※8),
3経済の活性化・最先端技術の活用／ＩＴＳ技術・ロボット産業の拡大,大会を契機とした自動運転技術の普及拡大やロボット産業の市場規模の拡大を需要増加額とする。（※8）,
合計,,122397
