規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,17.9,150.8,135.4,15.4,12.7,87,82.7,4.3
100～499人,18.3,153.9,138.8,15.1,13.8,85.4,81.7,3.7
100人以上,18.1,152.4,137.1,15.3,13.3,86,82.1,3.9
30～99人,19.1,161,145.6,15.4,12.6,74.7,71.5,3.2
５～29人,19.8,163.7,152.3,11.4,12,70.8,68.3,2.5
30人以上,18.4,154.8,139.5,15.3,13,80.4,76.8,3.6
５人以上,18.7,156.9,142.6,14.3,12.5,75.9,72.8,3.1
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３１年２月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
