規模,産業,一般労働者／前月末労働者数(人),一般労働者／本月中の増加労働者数(人),一般労働者／本月中の減少労働者数(人),一般労働者／本月末労働者数(人),パートタイム労働者／前月末労働者数(人),パートタイム労働者／本月中の増加労働者数(人),パートタイム労働者／本月中の減少労働者数(人),パートタイム労働者／本月末労働者数(人)
５人以上,調査産業計,6033841,106140,95328,6046782,2065580,117715,94765,2086401
５人以上,"鉱業,採石業,砂利採取業",1436,23,14,1445,11,0,0,11
５人以上,建設業,344192,4756,2875,346070,13980,274,474,13783
５人以上,製造業,545275,6128,6174,545236,51404,1164,1713,50848
５人以上,電気・ガス・熱供給・水道業,26749,341,170,26920,651,0,10,641
５人以上,情報通信業,805925,10887,8058,809039,27884,1074,1723,26950
５人以上,"運輸業,郵便業",414063,5388,5567,413864,58533,3637,2787,59403
５人以上,"卸売業,小売業",1229966,27843,29139,1229514,459054,17943,17632,458521
５人以上,"金融業,保険業",389255,6258,5000,390408,15512,255,32,15840
５人以上,"不動産業,物品賃貸業",183397,3610,1593,185494,34313,1694,1003,34924
５人以上,"学術研究,専門・技術サービス業",362959,5088,3719,364393,28212,1053,511,28689
５人以上,"宿泊業,飲食サービス業",134913,3869,4571,134118,539109,34662,32349,541515
５人以上,"生活関連サービス業,娯楽業",140008,3341,2992,140352,98724,7028,4770,100987
５人以上,"教育,学習支援業",250192,2422,1931,250797,155083,22028,7977,169020
５人以上,"医療,福祉",472166,7235,9530,470540,299392,13465,13586,298602
５人以上,複合サービス事業,31029,235,171,31093,7611,46,32,7625
５人以上,サービス業（他に分類されないもの）,702316,18716,13824,707499,276107,13392,10166,279042
30人以上,調査産業計,4557185,77397,71824,4563031,1101477,65790,43752,1123242
30人以上,"鉱業,採石業,砂利採取業",1436,23,14,1445,11,0,0,11
30人以上,建設業,221536,2491,1159,222866,6010,70,18,6064
30人以上,製造業,419683,4958,5812,418839,24990,543,697,24826
30人以上,電気・ガス・熱供給・水道業,23918,341,170,24089,651,0,10,641
30人以上,情報通信業,716556,8615,6700,718577,14334,406,1522,13112
30人以上,"運輸業,郵便業",345879,4767,4265,346360,50126,3637,2567,51217
30人以上,"卸売業,小売業",831863,22459,21481,832960,222843,7478,5837,224365
30人以上,"金融業,保険業",322976,5012,3977,323906,10863,255,32,11191
30人以上,"不動産業,物品賃貸業",125607,2161,1271,126498,19025,431,326,19129
30人以上,"学術研究,専門・技術サービス業",263592,3487,2585,264557,16496,325,179,16579
30人以上,"宿泊業,飲食サービス業",65609,1520,1208,65860,154013,8573,6473,156174
30人以上,"生活関連サービス業,娯楽業",71597,979,1470,71101,58263,3247,2494,59021
30人以上,"教育,学習支援業",207476,2015,1616,207874,108773,20882,5921,123735
30人以上,"医療,福祉",340831,3312,7040,337137,159648,7345,8006,158953
30人以上,複合サービス事業,20613,123,66,20670,4191,46,32,4205
30人以上,サービス業（他に分類されないもの）,578013,15134,12990,580292,251240,12552,9638,254019
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和元年５月分,,,,,,,,,
第７表  規模、産業、就業形態別常用労働者数,,,,,,,,,
