産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,2.07,1.96,1.66,1.69
"鉱業,採石業,砂利採取業",1.06,1.62,1.06,1.62
建設業,1.4,0.6,0.4,0.55
製造業,0.98,0.99,0.76,1.03
電気・ガス・熱供給・水道業,0.13,0.77,0.14,0.23
情報通信業,1.02,0.9,0.97,0.88
"運輸業,郵便業",1.9,2.38,2.22,2.55
"卸売業,小売業",1.44,1.52,1.02,1.08
"金融業,保険業",0.81,1.06,0.68,1.03
"不動産業,物品賃貸業",1.92,1.7,1.09,1.53
"学術研究,専門・技術サービス業",1.31,2.02,0.85,2.14
"宿泊業,飲食サービス業",6.34,4.9,4.06,3.58
"生活関連サービス業,娯楽業",3.2,3.22,3.52,2.2
"教育,学習支援業",2.64,2.72,3.17,2.55
"医療,福祉",2.01,1.61,2.03,1.58
複合サービス事業,0.68,0.69,0.51,0.63
サービス業（他に分類されないもの）,2.5,2.57,2.64,2.72
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和元年１１月分,,,,
第４表  規模、産業別労働異動率,,,,
