規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.7,156.1,141,15.1,13.2,90.9,86.9,4
100～499人,18.7,156.3,142.3,14,13.7,87.5,83.8,3.7
100人以上,18.7,156.2,141.6,14.6,13.5,89,85.2,3.8
30～99人,18.9,159.1,144.1,15,12.8,76.7,73.7,3
５～29人,19.3,158.2,147.8,10.4,12,72.5,69.9,2.6
30人以上,18.7,157,142.3,14.7,13.2,83,79.6,3.4
５人以上,18.9,157.3,143.7,13.6,12.6,78.2,75.1,3.1
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和元年８月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
