事業所規模,産業,和暦年,西暦年,年平均・月,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
30人以上,TL 調査産業計,平成26,2014,年平均,18.5,19,17.7,149.9,159.8,133.7,135.9,142.9,124.5,14,16.9,9.2
30人以上,TL 調査産業計,平成27,2015,年平均,18.3,18.8,17.4,147.7,158.3,130.8,134.2,141.7,122.2,13.5,16.6,8.6
30人以上,TL 調査産業計,平成28,2016,年平均,18.3,18.8,17.4,146.6,157.2,130,133.9,141.6,121.7,12.7,15.6,8.3
30人以上,TL 調査産業計,平成29,2017,年平均,18.3,18.9,17.4,146.7,157.4,130.3,134.3,142.1,122.3,12.4,15.3,8
30人以上,TL 調査産業計,平成30,2018,年平均,18.3,18.9,17.3,146.5,156.7,131.2,134.2,141.8,122.9,12.3,14.9,8.3
30人以上,TL 調査産業計,平成31・令和元,2019,年平均,17.7,18.4,16.8,143.2,153.6,127.7,130.2,137.7,119,13,15.9,8.7
30人以上,TL 調査産業計,平成31,2019,1月,16.7,17.2,15.9,135,144.3,121.3,122.8,129.5,112.9,12.2,14.8,8.4
30人以上,TL 調査産業計,平成31,2019,2月,17.3,17.9,16.3,139.7,150.4,124.1,126.8,134.5,115.5,12.9,15.9,8.6
30人以上,TL 調査産業計,平成31,2019,3月,17.7,18.4,16.7,143.8,154.2,127.9,130.4,137.9,118.9,13.4,16.3,9
30人以上,TL 調査産業計,平成31,2019,4月,18.2,18.9,17.2,148.2,158.9,132.3,134.2,142.1,122.6,14,16.8,9.7
30人以上,TL 調査産業計,令和元,2019,5月,17.5,18,16.7,141.3,150.9,127.1,128.3,135.1,118.2,13,15.8,8.9
30人以上,TL 調査産業計,令和元,2019,6月,18,18.6,17,144.9,155.9,129,132,139.9,120.5,12.9,16,8.5
30人以上,TL 調査産業計,令和元,2019,7月,18.7,19.4,17.7,150.2,161.3,133.9,137.2,145.3,125.3,13,16,8.6
30人以上,TL 調査産業計,令和元,2019,8月,17.6,18.2,16.8,142.2,152.3,127.6,129.8,137,119.3,12.4,15.3,8.3
30人以上,TL 調査産業計,令和元,2019,9月,17.2,17.8,16.4,139.3,149.2,124.6,126.4,133.3,116.1,12.9,15.9,8.5
30人以上,TL 調査産業計,令和元,2019,10月,18,18.6,17,145,155.8,129.2,131.6,139.4,120.1,13.4,16.4,9.1
30人以上,TL 調査産業計,令和元,2019,11月,18,18.7,17,145.6,156.8,129.1,132.3,140.4,120.3,13.3,16.4,8.8
30人以上,TL 調査産業計,令和元,2019,12月,17.8,18.4,16.8,143,153.6,127.1,130.2,137.9,118.6,12.8,15.7,8.5
30人以上,"C 鉱業,採石業,砂利採取業",平成26,2014,年平均,19,19.2,18.4,156.7,160.2,144,138.2,139.8,132.2,18.5,20.4,11.8
30人以上,"C 鉱業,採石業,砂利採取業",平成27,2015,年平均,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,"C 鉱業,採石業,砂利採取業",平成28,2016,年平均,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,"C 鉱業,採石業,砂利採取業",平成29,2017,年平均,－,－,－,－,－,－,－,－,－,－,－,－
