事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／前月末労働者数(人),一般労働者／本月中の増加労働者数(人),一般労働者／本月中の減少労働者数(人),一般労働者／本月末労働者数(人),パートタイム労働者／前月末労働者数(人),パートタイム労働者／本月中の増加労働者数(人),パートタイム労働者／本月中の減少労働者数(人),パートタイム労働者／本月末労働者数(人)
30人以上,TL 調査産業計,平成26,2014,年平均,4163550,62007,58672,4167294,888014,32813,30889,889529
30人以上,TL 調査産業計,平成27,2015,年平均,4093908,66952,64591,4096860,945116,37283,36800,945007
30人以上,TL 調査産業計,平成28,2016,年平均,4099294,67710,63824,4103185,983871,39543,39281,984128
30人以上,TL 調査産業計,平成29,2017,年平均,4153340,68888,63539,4158925,995050,41724,39298,997240
30人以上,TL 調査産業計,平成30,2018,年平均,4429433,73133,70615,4432896,1109149,39862,40537,1107528
30人以上,TL 調査産業計,平成31・令和元,2019,年平均,4522994,79239,70562,4532077,1129826,50166,48291,1131296
30人以上,TL 調査産業計,平成31,2019,1月,4437419,59007,58359,4437878,1126876,30271,40849,1116487
30人以上,TL 調査産業計,平成31,2019,2月,4428489,50958,55053,4424227,1123116,37899,38853,1122329
30人以上,TL 調査産業計,平成31,2019,3月,4431683,59768,66842,4426474,1118305,46172,63691,1098921
30人以上,TL 調査産業計,平成31,2019,4月,4428464,303272,169507,4561965,1096933,83995,84494,1096698
30人以上,TL 調査産業計,令和元,2019,5月,4557185,77397,71824,4563031,1101477,65790,43752,1123242
30人以上,TL 調査産業計,令和元,2019,6月,4565433,50409,62599,4553498,1140533,49971,38041,1152208
30人以上,TL 調査産業計,令和元,2019,7月,4581867,63421,77575,4568797,1131052,52240,47518,1134690
30人以上,TL 調査産業計,令和元,2019,8月,4564967,65885,48798,4582830,1139198,44003,47553,1134872
30人以上,TL 調査産業計,令和元,2019,9月,4575905,53593,52843,4576308,1134480,48067,42641,1140253
30人以上,TL 調査産業計,令和元,2019,10月,4553001,83622,75206,4561729,1155536,54266,52962,1156528
30人以上,TL 調査産業計,令和元,2019,11月,4568438,44848,56038,4557774,1149819,49819,40468,1158644
30人以上,TL 調査産業計,令和元,2019,12月,4583076,38693,52096,4570416,1140591,39504,38671,1140681
30人以上,"C 鉱業,採石業,砂利採取業",平成26,2014,年平均,1856,36,29,1862,50,0,0,51
30人以上,"C 鉱業,採石業,砂利採取業",平成27,2015,年平均,－,－,－,－,－,－,－,－
30人以上,"C 鉱業,採石業,砂利採取業",平成28,2016,年平均,－,－,－,－,－,－,－,－
30人以上,"C 鉱業,採石業,砂利採取業",平成29,2017,年平均,－,－,－,－,－,－,－,－
30人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,年平均,1391,31,35,1388,1,0,0,1
30人以上,"C 鉱業,採石業,砂利採取業",平成31・令和元,2019,年平均,1370,26,29,1366,12,0,0,12
30人以上,"C 鉱業,採石業,砂利採取業",平成31,2019,1月,1421,29,40,1410,14,0,0,14
30人以上,"C 鉱業,採石業,砂利採取業",平成31,2019,2月,1410,16,21,1405,14,0,1,13
30人以上,"C 鉱業,採石業,砂利採取業",平成31,2019,3月,1405,11,22,1395,13,0,1,11
30人以上,"C 鉱業,採石業,砂利採取業",平成31,2019,4月,1395,101,60,1436,11,0,0,11
30人以上,"C 鉱業,採石業,砂利採取業",令和元,2019,5月,1436,23,14,1445,11,0,0,11
30人以上,"C 鉱業,採石業,砂利採取業",令和元,2019,6月,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
30人以上,"C 鉱業,採石業,砂利採取業",令和元,2019,7月,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
30人以上,"C 鉱業,採石業,砂利採取業",令和元,2019,8月,1438,14,23,1429,11,0,0,11
30人以上,"C 鉱業,採石業,砂利採取業",令和元,2019,9月,1429,22,29,1422,11,0,0,11
30人以上,"C 鉱業,採石業,砂利採取業",令和元,2019,10月,1422,26,38,1410,11,0,0,11
30人以上,"C 鉱業,採石業,砂利採取業",令和元,2019,11月,1410,15,23,1401,11,0,0,12
30人以上,"C 鉱業,採石業,砂利採取業",令和元,2019,12月,1401,15,29,1387,12,0,0,12
30人以上,D 建設業,平成26,2014,年平均,207067,2560,2353,207274,4565,130,85,4609
30人以上,D 建設業,平成27,2015,年平均,211504,2346,2007,211844,1689,28,54,1662
30人以上,D 建設業,平成28,2016,年平均,214584,1989,2046,214528,1418,35,40,1413
30人以上,D 建設業,平成29,2017,年平均,214776,2076,1702,215150,1083,10,32,1062
30人以上,D 建設業,平成30,2018,年平均,214332,2290,2205,214415,6788,122,122,6790
30人以上,D 建設業,平成31・令和元,2019,年平均,228039,4363,2329,230073,6110,202,176,6136
30人以上,D 建設業,平成31,2019,1月,215961,1494,1112,216345,7494,13,33,7472
30人以上,D 建設業,平成31,2019,2月,216268,2715,1071,217910,7549,845,302,8094
30人以上,D 建設業,平成31,2019,3月,219710,1213,2011,218912,6294,18,203,6109
30人以上,D 建設業,平成31,2019,4月,219338,11626,8596,222368,5683,309,814,5178
30人以上,D 建設業,令和元,2019,5月,221536,2491,1159,222866,6010,70,18,6064
30人以上,D 建設業,令和元,2019,6月,223178,3328,2799,223707,5752,73,162,5663
30人以上,D 建設業,令和元,2019,7月,223928,2657,3266,223318,5442,179,98,5524
30人以上,D 建設業,令和元,2019,8月,222886,20876,1243,242519,5956,696,30,6622
30人以上,D 建設業,令和元,2019,9月,243348,1095,1471,242972,5793,7,55,5745
30人以上,D 建設業,令和元,2019,10月,242687,3085,2123,243649,6030,55,74,6011
30人以上,D 建設業,令和元,2019,11月,243647,919,1065,243500,6013,76,303,5787
30人以上,D 建設業,令和元,2019,12月,243981,858,2027,242814,5306,78,19,5363
30人以上,E 製造業,平成26,2014,年平均,511761,5523,5861,511441,28853,741,699,28877
30人以上,E 製造業,平成27,2015,年平均,465266,5925,6148,465067,29524,820,883,29437
30人以上,E 製造業,平成28,2016,年平均,470653,5756,5170,471242,31655,771,825,31597
30人以上,E 製造業,平成29,2017,年平均,471081,5453,5403,471120,26165,717,602,26291
30人以上,E 製造業,平成30,2018,年平均,389354,5038,4918,389441,30824,487,603,30741
30人以上,E 製造業,平成31・令和元,2019,年平均,410353,5586,5386,410549,21747,355,433,21673
30人以上,E 製造業,平成31,2019,1月,407901,4888,5239,407544,22220,350,415,22161
30人以上,E 製造業,平成31,2019,2月,404051,2899,3232,403680,22894,363,208,23087
30人以上,E 製造業,平成31,2019,3月,407027,4645,4021,407644,23172,344,362,23161
30人以上,E 製造業,平成31,2019,4月,408468,23723,9704,422471,22339,369,521,22203
30人以上,E 製造業,令和元,2019,5月,419683,4958,5812,418839,24990,543,697,24826
30人以上,E 製造業,令和元,2019,6月,419320,3716,6074,416972,24668,346,285,24719
30人以上,E 製造業,令和元,2019,7月,418870,3301,6938,415186,21820,323,835,21355
30人以上,E 製造業,令和元,2019,8月,414786,2723,4574,413017,22433,447,338,22460
30人以上,E 製造業,令和元,2019,9月,416431,3912,6118,414232,19046,127,256,18910
30人以上,E 製造業,令和元,2019,10月,400971,5801,6717,400020,16830,237,253,16849
30人以上,E 製造業,令和元,2019,11月,396861,2914,3701,396076,20008,252,587,19671
