事業所規模,和暦年,西暦年,年平均・月・前年比・前年同月比,調査産業計,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成26,2014,年平均,99.6,96.6,106.5,91.2,104.9,82.6,95.5,97.4,96.2,120.1,85.7,126.7,98.5,109.5,90.5,104.1
５人以上,平成27,2015,年平均,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,平成28,2016,年平均,95.1,93.6,94.6,110.1,97,95.2,95.2,95.7,96.2,101.6,99.4,71.7,105,98.8,95.6,88.7
５人以上,平成29,2017,年平均,94.7,111,94.1,88.4,87.8,94.4,96,93.8,100.8,106.9,101,79.9,119.4,90.8,89.2,83.2
５人以上,平成30,2018,年平均,90.6,112.4,106,95.3,74.4,90.4,98.4,84.2,95.3,93.7,102.3,90,172.1,97.3,165.6,78.2
５人以上,平成31・令和元,2019,年平均,94.8,110.2,100.1,109.4,85.8,102.7,103,90.2,98.1,95,95.3,87.3,165.2,94.8,152.9,85.3
５人以上,平成31,2019,1月,89.2,100.5,96.7,121.4,75.8,97,100,80,92.2,88.1,89.9,92,165,83.9,173.4,83.1
５人以上,平成31,2019,2月,94.2,110.7,113,141.5,82.6,105.1,100,80.5,98.6,98.7,95.7,88.5,172.5,96.4,148.1,83.1
５人以上,平成31,2019,3月,97.5,117.1,112.2,144,85.8,107.1,103.5,88.1,105,99.3,94.2,86.2,195,89.3,174.7,86.3
５人以上,平成31,2019,4月,100,129.9,112.2,105,85.8,109.6,107.1,91.9,103.5,96.7,95.7,97.7,207.5,96.4,172.2,86.3
５人以上,令和元,2019,5月,93.3,111.8,98.4,114.5,77.4,100.5,103.5,86.5,96.5,98.7,89.9,90.8,162.5,91.1,168.4,87.1
５人以上,令和元,2019,6月,93.3,104.8,99.2,ｘ,86.8,100.5,101.2,93,99.3,94,89.9,86.2,145,105.4,140.5,80.6
５人以上,令和元,2019,7月,95,107.5,95.1,ｘ,91.1,96.5,104.7,96.8,98.6,86.1,97.1,93.1,162.5,96.4,127.8,87.9
５人以上,令和元,2019,8月,90.8,102.1,93.5,82.4,85.3,97,100,94.1,91.5,82.8,102.9,87.4,110,89.3,98.7,83.9
５人以上,令和元,2019,9月,94.2,109.6,94.3,112.6,91.1,99.5,100,90.3,97.2,93.4,100,85.1,165,94.6,154.4,83.1
５人以上,令和元,2019,10月,97.5,110.7,92.7,125.2,94.2,104.5,107.1,93.5,102.8,104,92.8,82.8,165,98.2,144.3,87.1
５人以上,令和元,2019,11月,97.5,115,95.1,100.6,87.4,104.5,105.9,96.8,101.4,100,97.1,73.6,177.5,105.4,168.4,90.3
５人以上,令和元,2019,12月,95,103.2,99.2,79.2,86.8,110.1,102.4,91.4,90.8,98,98.6,83.9,155,91.1,163.3,84.7
５人以上,平成27,2015,年平均（前年比（％））,0.4,3.5,-6.1,9.7,-4.7,21.1,4.7,2.7,4,-16.8,16.8,-21,1.4,-8.7,10.5,-3.9
５人以上,平成28,2016,年平均（前年比（％））,-4.9,-6.4,-5.5,10.1,-2.9,-4.8,-4.8,-4.3,-3.7,1.7,-0.6,-28.3,5.1,-1.2,-4.4,-11.3
５人以上,平成29,2017,年平均（前年比（％））,-0.4,18.6,-0.5,-19.7,-9.5,-0.8,0.8,-2,4.8,5.2,1.6,11.4,13.7,-8.1,-6.7,-6.2
５人以上,平成30,2018,年平均（前年比（％））,-4.3,1.3,12.6,7.8,-15.3,-4.2,2.5,-10.2,-5.5,-12.3,1.3,12.6,44.1,7.2,85.7,-6
５人以上,平成31・令和元,2019,年平均（前年比（％））,4.6,-2,-5.6,14.8,15.3,13.6,4.7,7.1,2.9,1.4,-6.8,-3,-4,-2.6,-7.7,9.1
５人以上,平成31,2019,1月（前年同月比（％））,4,-0.6,1.7,34,7.5,6.1,4.9,4.2,0,10.8,-13.8,8.1,0,-16.1,37,6.3
５人以上,平成31,2019,2月（前年同月比（％））,5.6,-3.7,1.4,48,7.6,18.2,6.3,8.6,0.7,5.7,8.3,6.9,-2.8,3.8,0,3.1
５人以上,平成31,2019,3月（前年同月比（％））,1.8,0.4,-4.2,30.1,5.8,12.1,7.3,3.8,-4.5,-5.7,-5.8,-6.3,9.9,-13.8,14,-1.8
５人以上,平成31,2019,4月（前年同月比（％））,4.4,15.7,0,26.5,6.6,16.1,4.6,3.7,-3.4,-3.3,-16.4,-4.5,7.8,3.8,-4.2,1.9
５人以上,令和元,2019,5月（前年同月比（％））,1.7,2.9,-3.1,-20.2,8.9,8.8,4.8,-2.4,-4.8,-2,-18.3,-4.8,-4.4,-8.9,-7.6,11.4
５人以上,令和元,2019,6月（前年同月比（％））,0,-12.2,-4.7,ｘ,14.5,13.7,4.9,6.2,-2.1,-7.2,-18.3,-7.4,-18.3,-1.6,-15.3,0
５人以上,令和元,2019,7月（前年同月比（％））,6.5,-2.9,-10,ｘ,23.6,13,3.5,11.9,11.2,-5.8,4.6,6.5,-11,0,-28.4,16
５人以上,令和元,2019,8月（前年同月比（％））,6.8,0.5,-5.7,0,24.7,12.9,4.9,13.1,6.6,-10.1,4.4,-5,-10.2,-2,-26.5,22.5
５人以上,令和元,2019,9月（前年同月比（％））,9.8,-9.3,-0.8,26.9,26.4,15.8,4.9,15.2,19.1,14.6,3,-1.3,-2.9,3.8,5.2,22.7
５人以上,令和元,2019,10月（前年同月比（％））,7.4,-2.8,-10.3,26,27,18.2,5.8,3.5,12.3,16.3,-11,-3.9,-9.6,1.9,-21.9,13.7
５人以上,令和元,2019,11月（前年同月比（％））,2.6,-4,-18.2,18.5,14.5,10.1,1.1,5.9,6,2,-8.2,-16.8,-4.1,7.3,-5.7,12
５人以上,令和元,2019,12月（前年同月比（％））,5.6,-5,-10.3,-10.7,20.4,18.5,2.4,15,0,6.4,-2.8,-5.2,-4.6,-7.2,-21.8,7.2
30人以上,平成26,2014,年平均,100.3,91.5,108,94.9,108.6,83.4,93.1,95.9,92.7,115.5,101.1,131.6,93.7,113.7,87.5,104.1
30人以上,平成27,2015,年平均,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
30人以上,平成28,2016,年平均,94.3,91.5,96.9,111.2,96.6,94,91.1,96.5,96.5,95.9,105.1,58,98.4,98.9,78.4,91.8
30人以上,平成29,2017,年平均,92.2,105,98.2,87.9,87.1,91,88.5,92.6,91.7,97.8,122.6,71.6,108.5,91.3,82.9,83.3
30人以上,平成30,2018,年平均,91,112.3,110.4,97,74.2,91.8,89.3,84,101.1,90.6,126.6,99.2,160.5,105.8,153.3,82.5
30人以上,平成31・令和元,2019,年平均,96.4,112.3,107.2,112,84.8,106.1,96.7,89.8,101.7,94.6,120.6,80.6,161.3,99.3,142.5,90.3
30人以上,平成31,2019,1月,90.4,103.1,103.1,123.9,74.6,99.5,92.1,79.5,92.4,88.6,131.7,89.3,159.5,91.7,162.3,89.4
30人以上,平成31,2019,2月,95.6,111.9,118.3,147.2,81.6,109.6,92.1,79.5,92.4,98.9,127,75.7,166.7,105,131.1,88.6
30人以上,平成31,2019,3月,99.3,119,117.6,149.1,85.6,111.1,96,87,105.5,97.2,125.4,77.7,190.5,91.7,155.7,91.9
30人以上,平成31,2019,4月,103.7,138.1,119.8,108,86.1,115.2,103,90.5,110.3,96,117.5,94.2,214.3,103.3,150,92.7
30人以上,令和元,2019,5月,96.3,117.7,106.9,116,78.1,106.1,97,85,104.1,100.6,122.2,86.4,164.3,93.3,153.8,94.3
30人以上,令和元,2019,6月,95.6,109.3,103.8,ｘ,86.1,104,96,93.5,104.8,93.2,123.8,80.6,135.7,110,120.8,87
30人以上,令和元,2019,7月,96.3,111.5,103.8,ｘ,89.6,98.5,97,96.5,104.1,85.8,112.7,80.6,154.8,103.3,121.7,91.9
30人以上,令和元,2019,8月,91.9,105.3,103.1,84,83.6,100,94.1,94.5,95.9,82.4,112.7,74.8,109.5,100,96.2,88.6
30人以上,令和元,2019,9月,95.6,108.4,102.3,118.4,89.1,103.5,94.1,90.5,97.9,92,120.6,76.7,161.9,93.3,155.7,88.6
30人以上,令和元,2019,10月,99.3,108.4,100.8,128.8,93,108.6,102,93.5,110.3,104,107.9,77.7,161.9,101.7,136.8,90.2
30人以上,令和元,2019,11月,98.5,111.5,101.5,101.8,85.6,106.1,102,97.5,107.6,98.9,120.6,69.9,171.4,100,169.8,94.3
30人以上,令和元,2019,12月,94.8,103.1,105.3,74.8,84.1,111.1,95,90.5,95.2,97.2,125.4,83.5,145.2,98.3,155.7,86.2
30人以上,平成27,2015,年平均（前年比（％））,-0.3,9.3,-7.4,5.4,-7.8,19.8,7.4,4.3,7.9,-13.5,-1,-24,6.7,-12,14.4,-4
30人以上,平成28,2016,年平均（前年比（％））,-5.7,-8.5,-3,11.2,-3.4,-5.9,-8.9,-3.6,-3.5,-4.1,5.1,-42,-1.6,-1.2,-21.6,-8.3
30人以上,平成29,2017,年平均（前年比（％））,-2.2,14.8,1.3,-21,-9.8,-3.2,-2.9,-4,-5,2,16.7,23.4,10.3,-7.7,5.7,-9.3
30人以上,平成30,2018,年平均（前年比（％））,-1.3,7,12.4,10.4,-14.8,0.9,0.9,-9.3,10.3,-7.4,3.3,38.5,47.9,15.9,84.9,-1
