規模,産業,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５人以上,調査産業計,19.1,160.2,145.4,14.8,12.7,78.5,75.3,3.2
５人以上,"鉱業,採石業,砂利採取業",19.1,171.2,149.9,21.3,17.7,133,131.2,1.8
５人以上,建設業,20.4,174,151.3,22.7,14.1,96.9,94.2,2.7
５人以上,製造業,18.9,160.1,145.4,14.7,16.3,109.6,105.5,4.1
５人以上,電気・ガス・熱供給・水道業,18.3,161.8,138.4,23.4,15.2,101.3,100.8,0.5
５人以上,情報通信業,18.8,160.8,143.9,16.9,10.7,68.4,66.7,1.7
５人以上,"運輸業,郵便業",19.1,168.9,145.9,23,14.5,105.2,95,10.2
５人以上,"卸売業,小売業",19.1,157.9,147,10.9,13.9,86.5,83,3.5
５人以上,"金融業,保険業",18.3,149.4,132.5,16.9,15.5,99.1,96.5,2.6
５人以上,"不動産業,物品賃貸業",19.6,167,149.8,17.2,14.2,80.2,79.3,0.9
５人以上,"学術研究,専門・技術サービス業",19.1,158.3,142.4,15.9,13.3,90,86.4,3.6
５人以上,"宿泊業,飲食サービス業",19.9,179,160,19,11.7,71,67.5,3.5
５人以上,"生活関連サービス業,娯楽業",19.8,163.9,151.6,12.3,12.4,71.1,69.7,1.4
５人以上,"教育,学習支援業",19.3,155.3,143.8,11.5,8.2,47.4,45.8,1.6
５人以上,"医療,福祉",19.1,155.4,147.8,7.6,11.4,63.8,62.6,1.2
５人以上,複合サービス事業,18.8,160.6,144.7,15.9,17.6,108.6,102.7,5.9
５人以上,サービス業（他に分類されないもの）,18.9,156.9,143.8,13.1,15.4,101.5,97.4,4.1
30人以上,調査産業計,18.8,158.7,142.9,15.8,13.2,84.1,80.4,3.7
30人以上,"鉱業,採石業,砂利採取業",19.1,171.2,149.9,21.3,17.7,133,131.2,1.8
30人以上,建設業,19.9,173.3,145.8,27.5,13.1,91.7,88.5,3.2
30人以上,製造業,18.6,159,143.2,15.8,16.7,123.1,115.3,7.8
30人以上,電気・ガス・熱供給・水道業,18.2,162.8,137.9,24.9,14.5,94.1,93.8,0.3
30人以上,情報通信業,18.8,161.1,143.5,17.6,12.2,79.5,77,2.5
30人以上,"運輸業,郵便業",19,167.6,143.7,23.9,13.9,103.5,93.9,9.6
30人以上,"卸売業,小売業",18.6,154,142.8,11.2,15.1,95.4,91,4.4
30人以上,"金融業,保険業",18.2,148.3,130.5,17.8,15.1,99.7,96.3,3.4
30人以上,"不動産業,物品賃貸業",19,161.6,144.3,17.3,15.8,81.8,80.9,0.9
30人以上,"学術研究,専門・技術サービス業",19,158.4,140.5,17.9,12.6,87.5,84.3,3.2
30人以上,"宿泊業,飲食サービス業",19.6,173.3,155.6,17.7,12.3,74.5,70.6,3.9
30人以上,"生活関連サービス業,娯楽業",19.4,161.3,147.6,13.7,12.1,64.8,63,1.8
30人以上,"教育,学習支援業",19.4,155.2,143.9,11.3,7,46.1,45,1.1
30人以上,"医療,福祉",19.1,155.4,147.9,7.5,11.5,67.4,65.8,1.6
30人以上,複合サービス事業,19.2,165.4,147.2,18.2,18.1,99.9,91.1,8.8
30人以上,サービス業（他に分類されないもの）,18.7,156.9,142.7,14.2,15.6,103.3,98.9,4.4
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３１年３月分,,,,,,,,,
第６表  規模、産業、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,
