規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,17.7,148.8,133.7,15.1,13.3,90.1,86,4.1
100～499人,18.2,152.8,138.1,14.7,13.5,85.8,82.3,3.5
100人以上,18,150.7,135.8,14.9,13.4,87.7,83.9,3.8
30～99人,18.9,161,144.8,16.2,12.7,75.4,72.3,3.1
５～29人,19.8,162.8,151.7,11.1,12,73,70.4,2.6
30人以上,18.3,153.7,138.4,15.3,13.1,81.6,78.2,3.4
５人以上,18.6,155.8,141.6,14.2,12.6,77.6,74.6,3
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和元年９月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
