規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.7,156.1,140.6,15.5,13.3,88.6,84.4,4.2
100～499人,18.9,155.7,141.2,14.5,13.8,87.9,84,3.9
100人以上,18.8,155.9,140.9,15,13.6,88.2,84.2,4
30～99人,19.3,163.1,147.8,15.3,13,77.1,73.9,3.2
５～29人,20.2,167,155.4,11.6,12.1,73,70.5,2.5
30人以上,18.9,158,142.9,15.1,13.3,82.7,79.1,3.6
５人以上,19.2,160.3,146,14.3,12.7,78.2,75.1,3.1
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和元年１２月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
