産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,2.76,2.35,2.53,2.04
"鉱業,採石業,砂利採取業",1.59,0.97,1.59,0.97
建設業,1.4,0.94,1.13,0.52
製造業,1.22,1.32,1.24,1.46
電気・ガス・熱供給・水道業,1.24,0.66,1.39,0.73
情報通信業,1.43,1.17,1.23,1.12
"運輸業,郵便業",1.91,1.77,2.12,1.73
"卸売業,小売業",2.71,2.77,2.84,2.59
"金融業,保険業",1.61,1.24,1.58,1.2
"不動産業,物品賃貸業",2.44,1.19,1.79,1.1
"学術研究,専門・技術サービス業",1.57,1.08,1.36,0.99
"宿泊業,飲食サービス業",5.72,5.48,4.6,3.5
"生活関連サービス業,娯楽業",4.34,3.25,3.25,3.05
"教育,学習支援業",6.03,2.44,7.24,2.38
"医療,福祉",2.68,3,2.13,3.01
複合サービス事業,0.73,0.53,0.68,0.4
サービス業（他に分類されないもの）,3.28,2.45,3.34,2.73
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和元年５月分,,,,
第４表  規模、産業別労働異動率,,,,
