規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.7,156.8,140.9,15.9,13.5,90.8,86.7,4.1
100～499人,19.1,159.1,144.6,14.5,14.3,88.9,85.3,3.6
100人以上,18.9,157.9,142.7,15.2,14,89.7,85.9,3.8
30～99人,19.8,167.3,151.8,15.5,12.8,74.8,72,2.8
５～29人,20.7,169.4,158.8,10.6,12.5,73.3,71,2.3
30人以上,19.1,160.6,145.3,15.3,13.4,82.3,79,3.3
５人以上,19.5,162.8,148.6,14.2,13,78.2,75.3,2.9
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和元年６月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
