産業,１人平均支給額（円）,前年比（％）,支給事業所数割合（％）,支給労働者数割合（％）,平均支給月数（か月）,前年支給月数差（か月）
調査産業計,638962,3.8,85.8,87.9,1.33,-0.05
鉱業，採石業，砂利採取業,1549064,－,75,68.6,3.12,3.12
建設業,872374,9.4,100,100,1.86,0.17
製造業,773363,-18.7,90.6,87.2,1.65,-0.11
電気・ガス・熱供給・水道業,1023633,44.8,17.7,61.8,2.17,0.65
情報通信業,708137,5.9,91.5,94.6,1.43,-0.09
運輸業，郵便業,555949,2.4,86.3,92.5,1.15,-0.24
卸売業，小売業,761275,19.1,88.2,90.9,1.29,-0.06
"金融業,保険業",912578,7.1,86.2,89.4,2.04,-0.01
不動産業，物品賃貸業,661741,-9.8,87.4,91.7,1.85,0.06
学術研究，専門・技術サービス業,822134,10.2,83.9,79,1.79,-0.08
宿泊業，飲食サービス業,137702,6,82.5,74.1,0.41,-0.03
生活関連サービス業，娯楽業,240408,12,71.3,81.6,0.87,-0.05
教育，学習支援業,625731,-3,99.4,99.5,1.73,-0.01
医療，福祉,463382,1.8,66.4,73.1,1.06,-0.14
複合サービス事業,658027,-10,100,100,1.74,-0.45
サービス業（他に分類されないもの）,310928,10.9,84,82.6,0.99,-0.09
,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年冬季,,,,,,
第21表  賞与の産業別及び規模別支給状況,,,,,,
注１）「１人平均支給額」は、賞与を支給した事業所における常用労働者１人当たりの平均賞与支給額です。,,,,,,
　２）「支給事業所数割合」は、賞与を支給した事業所数を全事業所数で除した値です。,,,,,,
　３）「支給労働者数割合」は、賞与を支給した事業所の全常用労働者数を全事業所の全常用労働者数で除した値です。,,,,,,
　４）「平均支給月数」は、賞与を支給した各事業所における賞与の所定内給与に対する割合を単純平均したものです。,,,,,,
