規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,479688,453842,418028,35814,25846,144615,143770,134615,9155,845
100～499人,428698,406565,377921,28644,22133,130579,127964,122274,5690,2615
100人以上,454521,430508,398233,32275,24013,136849,135024,127786,7238,1825
30～99人,420314,375940,349888,26052,44374,102570,101327,97498,3829,1243
５～29人,380993,356545,339602,16943,24448,88735,88119,85333,2786,616
30人以上,444719,414871,384379,30492,29848,120263,118720,113132,5588,1543
５人以上,429140,400612,373432,27180,28528,105388,104282,100016,4266,1106
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３１年１月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
