規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.7,164.5,148.6,15.9,14,93.7,89.8,3.9
100～499人,19.8,164.7,150.2,14.5,14.3,89.2,85.9,3.3
100人以上,19.8,164.6,149.4,15.2,14.2,91.3,87.7,3.6
30～99人,20.5,172.7,156.5,16.2,12.9,74,71.8,2.2
５～29人,20.6,169.8,158.7,11.1,12.4,73.7,71.2,2.5
30人以上,20,166.9,151.4,15.5,13.5,82.9,80,2.9
５人以上,20.1,167.6,153.2,14.4,13,78.6,75.9,2.7
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和元年７月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
