規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,452771,533367,326100,429159,505000,309962,390618,38541,23612,28367,16138
100～499人,393150,454294,297372,374139,432043,283436,347707,26432,19011,22251,13936
100人以上,422710,493525,311601,401418,468240,296574,368982,32436,21292,25285,15027
30～99人,321007,394203,221399,297918,361596,211263,276268,21650,23089,32607,10136
５～29人,263300,335394,186116,253832,322376,180448,241674,12158,9468,13018,5668
30人以上,389720,462553,280646,367845,434985,267298,338908,28937,21875,27568,13348
５人以上,351386,427855,248106,333273,404257,237401,309424,23849,18113,23598,10705
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３１年４月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
