事業所規模,産業,和暦年,西暦年,年平均・月,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５人以上,TL 調査産業計,平成26,2014,年平均,18.2,19,17.2,145.2,157.5,127,132.9,142.2,119.3,12.3,15.3,7.7
５人以上,TL 調査産業計,平成27,2015,年平均,18.1,18.8,17,144.2,156.9,125.5,132.2,141.7,118.2,12,15.2,7.3
５人以上,TL 調査産業計,平成28,2016,年平均,18.1,18.8,17,143.2,155.7,125.1,131.8,141.3,118,11.4,14.4,7.1
５人以上,TL 調査産業計,平成29,2017,年平均,18,18.8,16.9,143,156,124.7,131.7,141.5,117.8,11.3,14.5,6.9
５人以上,TL 調査産業計,平成30,2018,年平均,17.9,18.7,16.8,141.1,153.6,124.1,130.2,139.9,117,10.9,13.7,7.1
５人以上,TL 調査産業計,平成31・令和元,2019,年平均,17.4,18.2,16.3,138.1,150.8,121.1,126.7,136.4,113.8,11.4,14.4,7.3
５人以上,TL 調査産業計,平成31,2019,1月,16.2,17,15.3,128.7,140.1,113.3,118,126.7,106.3,10.7,13.4,7
５人以上,TL 調査産業計,平成31,2019,2月,17.1,17.9,16,135.4,148.2,118.4,124.1,133.8,111.1,11.3,14.4,7.3
５人以上,TL 調査産業計,平成31,2019,3月,17.4,18.3,16.3,138.6,151.2,121.3,126.9,136.5,113.7,11.7,14.7,7.6
５人以上,TL 調査産業計,平成31,2019,4月,17.9,18.7,16.7,142.5,155.4,125.1,130.5,140.4,117.1,12,15,8
５人以上,TL 調査産業計,令和元,2019,5月,17,17.7,16,134.8,146.5,119.1,123.6,132.4,111.7,11.2,14.1,7.4
５人以上,TL 調査産業計,令和元,2019,6月,17.8,18.7,16.7,140.7,154,123.4,129.5,139.7,116.2,11.2,14.3,7.2
５人以上,TL 調査産業計,令和元,2019,7月,18.3,19.2,17.1,144.7,158.2,126.6,133.3,143.7,119.4,11.4,14.5,7.2
５人以上,TL 調査産業計,令和元,2019,8月,17.3,18,16.2,136.8,149.1,120.5,125.9,135.2,113.6,10.9,13.9,6.9
５人以上,TL 調査産業計,令和元,2019,9月,17.1,17.8,16,135.6,147.8,119.2,124.3,133.4,112,11.3,14.4,7.2
５人以上,TL 調査産業計,令和元,2019,10月,17.6,18.5,16.4,139.7,153,121.9,128,138.2,114.3,11.7,14.8,7.6
５人以上,TL 調査産業計,令和元,2019,11月,17.7,18.6,16.5,140.8,154.1,122.8,129.1,139.3,115.3,11.7,14.8,7.5
５人以上,TL 調査産業計,令和元,2019,12月,17.5,18.4,16.4,139,152.1,121.3,127.6,137.6,114.1,11.4,14.5,7.2
５人以上,"C 鉱業,採石業,砂利採取業",平成26,2014,年平均,19,19.2,18.4,156.7,160.2,144,138.2,139.8,132.2,18.5,20.4,11.8
５人以上,"C 鉱業,採石業,砂利採取業",平成27,2015,年平均,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成28,2016,年平均,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成29,2017,年平均,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,年平均,18.8,18.9,18.3,154.7,158.9,142.9,135.1,136.9,130,19.6,22,12.9
５人以上,"C 鉱業,採石業,砂利採取業",平成31・令和元,2019,年平均,18.6,18.7,18.2,154.6,157.9,143.5,136,137.5,130.9,18.6,20.4,12.6
５人以上,"C 鉱業,採石業,砂利採取業",平成31,2019,1月,18,17.6,19.2,147.3,150.2,137.1,128,129,124.3,19.3,21.2,12.8
５人以上,"C 鉱業,採石業,砂利採取業",平成31,2019,2月,18.2,18.3,17.8,153.2,156.4,140.4,133.7,134.9,128.9,19.5,21.5,11.5
５人以上,"C 鉱業,採石業,砂利採取業",平成31,2019,3月,19,19.2,18.6,170.8,174.7,157.1,149.7,151.9,142,21.1,22.8,15.1
５人以上,"C 鉱業,採石業,砂利採取業",平成31,2019,4月,18.8,18.9,18.6,157.1,159.2,149.1,138.5,139.4,135.3,18.6,19.8,13.8
５人以上,"C 鉱業,採石業,砂利採取業",令和元,2019,5月,18.7,18.9,17.9,154.4,157.7,142.1,136.6,138.5,129.6,17.8,19.2,12.5
５人以上,"C 鉱業,採石業,砂利採取業",令和元,2019,6月,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
５人以上,"C 鉱業,採石業,砂利採取業",令和元,2019,7月,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
５人以上,"C 鉱業,採石業,砂利採取業",令和元,2019,8月,18.7,18.9,18,152.1,155.6,140.6,135.3,136.9,129.9,16.8,18.7,10.7
５人以上,"C 鉱業,採石業,砂利採取業",令和元,2019,9月,17,17.1,16.7,140.3,142.8,131.8,122.3,123.1,119.7,18,19.7,12.1
５人以上,"C 鉱業,採石業,砂利採取業",令和元,2019,10月,18.7,18.9,18.1,153,156.3,142.2,133.6,134.8,129.6,19.4,21.5,12.6
５人以上,"C 鉱業,採石業,砂利採取業",令和元,2019,11月,18.6,18.9,17.7,153.6,157.3,139.8,135.3,137.2,128.2,18.3,20.1,11.6
５人以上,"C 鉱業,採石業,砂利採取業",令和元,2019,12月,18.5,18.7,17.9,150.2,153.6,139.2,133.2,134.7,128.2,17,18.9,11
５人以上,D 建設業,平成26,2014,年平均,20.4,20.7,18.9,174.4,177.7,155.8,154.2,156,144.2,20.2,21.7,11.6
５人以上,D 建設業,平成27,2015,年平均,20.2,20.5,18.8,173.6,177.5,152.3,155,157.4,141.7,18.6,20.1,10.6
５人以上,D 建設業,平成28,2016,年平均,20.5,20.8,19,175.8,179.5,154.7,158.3,160.7,144.5,17.5,18.8,10.2
５人以上,D 建設業,平成29,2017,年平均,20.5,20.8,18.8,177.4,182.4,152.5,156.6,159.4,142.9,20.8,23,9.6
５人以上,D 建設業,平成30,2018,年平均,20.4,20.8,18.6,176,181.6,150.9,155,157.9,142,21,23.7,8.9
５人以上,D 建設業,平成31・令和元,2019,年平均,19.9,20.2,18.4,169.3,174,147.4,148.7,151.1,137.7,20.6,22.9,9.7
５人以上,D 建設業,平成31,2019,1月,17.9,18.3,16.3,149.1,153.8,128.2,130.3,132.7,119.7,18.8,21.1,8.5
５人以上,D 建設業,平成31,2019,2月,20,20.3,18.7,168.8,173.4,148.7,148.1,150.1,139.5,20.7,23.3,9.2
５人以上,D 建設業,平成31,2019,3月,20.1,20.4,18.7,170.8,175.3,150.4,148.9,150.9,139.9,21.9,24.4,10.5
５人以上,D 建設業,平成31,2019,4月,21.1,21.5,18.9,180.8,186.4,155.2,156.5,159.5,142.7,24.3,26.9,12.5
５人以上,D 建設業,令和元,2019,5月,18.8,19.1,17.1,160,165.1,137.7,139.1,141.8,127.3,20.9,23.3,10.4
