規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18,18.3,17.4,147.3,154,137,133.7,138.2,126.8,13.6,15.8,10.2
100～499人,17.8,18.2,17.2,144.6,152.1,133.1,132.4,137.4,124.7,12.2,14.7,8.4
100人以上,17.9,18.3,17.3,146,153.1,135.1,133.1,137.8,125.8,12.9,15.3,9.3
30～99人,17.1,18,15.8,134.6,150.6,113.3,123.2,135.3,107,11.4,15.3,6.3
５～29人,16.4,17.6,15.1,124.2,140.6,106.9,116.9,130.4,102.6,7.3,10.2,4.3
30人以上,17.6,18.2,16.8,142.2,152.3,127.6,129.8,137,119.3,12.4,15.3,8.3
５人以上,17.3,18,16.2,136.8,149.1,120.5,125.9,135.2,113.6,10.9,13.9,6.9
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和元年８月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
