事業所規模,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５～29人,平成26,2014,年平均,20.3,168,156.2,11.8,13.2,79.2,76.7,2.5
５～29人,平成27,2015,年平均,20.3,169,157.1,11.9,13.2,80.9,78.1,2.8
５～29人,平成28,2016,年平均,20.2,167.9,156.2,11.7,13.1,79.4,76.7,2.7
５～29人,平成29,2017,年平均,20.2,168.4,155.8,12.6,12.8,77.9,75.3,2.6
５～29人,平成30,2018,年平均,20.2,166.4,155.1,11.3,12.5,74.2,71.6,2.6
５～29人,平成31・令和元,2019,年平均,19.8,162.8,151.8,11,12.1,72,69.5,2.5
５～29人,平成31,2019,1月,17.7,145.9,135.6,10.3,11.5,68.3,65.8,2.5
５～29人,平成31,2019,2月,19.8,163.7,152.3,11.4,12,70.8,68.3,2.5
５～29人,平成31,2019,3月,19.9,164.8,153.2,11.6,12.1,72.2,69.6,2.6
５～29人,平成31,2019,4月,20.5,168.2,157.1,11.1,12.2,73,70.6,2.4
５～29人,令和元,2019,5月,18.4,151.7,141.5,10.2,11.9,70.2,67.9,2.3
５～29人,令和元,2019,6月,20.7,169.4,158.8,10.6,12.5,73.3,71,2.3
５～29人,令和元,2019,7月,20.6,169.8,158.7,11.1,12.4,73.7,71.2,2.5
５～29人,令和元,2019,8月,19.3,158.2,147.8,10.4,12,72.5,69.9,2.6
５～29人,令和元,2019,9月,19.8,162.8,151.7,11.1,12,73,70.4,2.6
５～29人,令和元,2019,10月,19.9,164.1,152.8,11.3,11.9,70.9,68.5,2.4
５～29人,令和元,2019,11月,20.3,167.8,156.2,11.6,12.1,72.5,69.9,2.6
５～29人,令和元,2019,12月,20.2,167,155.4,11.6,12.1,73,70.5,2.5
30～99人,平成26,2014,年平均,19.7,168.2,151.9,16.3,14.9,86.1,83.4,2.7
30～99人,平成27,2015,年平均,19.6,164.7,150.2,14.5,13.9,78.9,76.2,2.7
30～99人,平成28,2016,年平均,19.7,162.8,149.7,13.1,14.1,81.9,79.4,2.5
30～99人,平成29,2017,年平均,19.6,163.4,149.8,13.6,14.1,81.4,79.2,2.2
30～99人,平成30,2018,年平均,19.8,165.9,151.2,14.7,13.7,79,76.8,2.2
30～99人,平成31・令和元,2019,年平均,19.3,163.4,147.7,15.7,12.8,75.6,72.5,3.1
30～99人,平成31,2019,1月,17.8,151.1,136.5,14.6,12.5,73.9,70.4,3.5
30～99人,平成31,2019,2月,19.1,161,145.6,15.4,12.6,74.7,71.5,3.2
30～99人,平成31,2019,3月,19.3,163.1,147.4,15.7,13.1,78.3,75.1,3.2
30～99人,平成31,2019,4月,20,170.1,152.8,17.3,13.1,78.2,75,3.2
30～99人,令和元,2019,5月,18.7,158,142.8,15.2,12.8,76.2,73,3.2
30～99人,令和元,2019,6月,19.8,167.3,151.8,15.5,12.8,74.8,72,2.8
30～99人,令和元,2019,7月,20.5,172.7,156.5,16.2,12.9,74,71.8,2.2
30～99人,令和元,2019,8月,18.9,159.1,144.1,15,12.8,76.7,73.7,3
30～99人,令和元,2019,9月,18.9,161,144.8,16.2,12.7,75.4,72.3,3.1
30～99人,令和元,2019,10月,19.6,167,150.5,16.5,12.3,72.9,69.9,3
30～99人,令和元,2019,11月,19.7,167.3,151.3,16,12.5,74.2,71.1,3.1
30～99人,令和元,2019,12月,19.3,163.1,147.8,15.3,13,77.1,73.9,3.2
100～499人,平成26,2014,年平均,19.2,162.3,145.8,16.5,14.4,90.6,86.4,4.2
100～499人,平成27,2015,年平均,19.2,162.7,146.4,16.3,14.9,90.8,87.7,3.1
100～499人,平成28,2016,年平均,19.2,162,146.2,15.8,14.9,90.3,87.2,3.1
100～499人,平成29,2017,年平均,19.3,162.2,147.1,15.1,14.7,89.7,86.7,3
100～499人,平成30,2018,年平均,19.1,159.8,145.5,14.3,14.4,89.1,85.6,3.5
100～499人,平成31・令和元,2019,年平均,18.8,156.9,142.1,14.8,13.8,87,83.3,3.7
100～499人,平成31,2019,1月,17.7,148.9,134.5,14.4,13.6,83.9,80,3.9
100～499人,平成31,2019,2月,18.3,153.9,138.8,15.1,13.8,85.4,81.7,3.7
100～499人,平成31,2019,3月,18.8,158.1,142.5,15.6,13.6,86.1,82.3,3.8
100～499人,平成31,2019,4月,19.3,161.7,146.1,15.6,13.9,89.5,85.5,4
100～499人,令和元,2019,5月,18.3,152.3,138,14.3,13.7,85.7,82.1,3.6
100～499人,令和元,2019,6月,19.1,159.1,144.6,14.5,14.3,88.9,85.3,3.6
100～499人,令和元,2019,7月,19.8,164.7,150.2,14.5,14.3,89.2,85.9,3.3
100～499人,令和元,2019,8月,18.7,156.3,142.3,14,13.7,87.5,83.8,3.7
100～499人,令和元,2019,9月,18.2,152.8,138.1,14.7,13.5,85.8,82.3,3.5
100～499人,令和元,2019,10月,19.1,159.5,144.2,15.3,13.8,86.1,82.2,3.9
100～499人,令和元,2019,11月,19.2,159.8,144.7,15.1,14.1,88.1,84.4,3.7
100～499人,令和元,2019,12月,18.9,155.7,141.2,14.5,13.8,87.9,84,3.9
