規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.3,18.9,17.5,152.1,159.8,139.9,137,142.5,128.3,15.1,17.3,11.6
100～499人,18.4,18.9,17.6,149.9,158.4,136.6,136.2,142.3,126.6,13.7,16.1,10
100人以上,18.4,18.9,17.5,151,159.1,138.3,136.6,142.4,127.5,14.4,16.7,10.8
30～99人,17.9,18.9,16.6,142.5,158.4,120.7,129.4,141.3,113.2,13.1,17.1,7.5
５～29人,17.1,18.3,15.8,129.6,146.3,111.7,122,136.2,106.8,7.6,10.1,4.9
30人以上,18.2,18.9,17.2,148.2,158.9,132.3,134.2,142.1,122.6,14,16.8,9.7
５人以上,17.9,18.7,16.7,142.5,155.4,125.1,130.5,140.4,117.1,12,15,8
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３１年４月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
