規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19,159.5,143.2,16.3,13.3,88.7,84.7,4
100～499人,19.2,159.8,144.7,15.1,14.1,88.1,84.4,3.7
100人以上,19.1,159.6,143.9,15.7,13.8,88.4,84.6,3.8
30～99人,19.7,167.3,151.3,16,12.5,74.2,71.1,3.1
５～29人,20.3,167.8,156.2,11.6,12.1,72.5,69.9,2.6
30人以上,19.3,161.8,146,15.8,13.2,81.4,77.9,3.5
５人以上,19.5,163.3,148.5,14.8,12.7,77.3,74.2,3.1
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和元年１１月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
