事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５人以上,TL 調査産業計,平成26,2014,年平均,19.6,164.3,149.2,15.1,13.9,83.7,80.7,3
５人以上,TL 調査産業計,平成27,2015,年平均,19.5,164,149.1,14.9,13.7,83,80,3
５人以上,TL 調査産業計,平成28,2016,年平均,19.5,163,148.8,14.2,13.7,82.7,79.9,2.8
５人以上,TL 調査産業計,平成29,2017,年平均,19.5,163.4,149.2,14.2,13.5,81.5,78.9,2.6
５人以上,TL 調査産業計,平成30,2018,年平均,19.5,162.5,148.8,13.7,13.4,81.2,78.3,2.9
５人以上,TL 調査産業計,平成31・令和元,2019,年平均,19.1,159.5,145.2,14.3,12.7,77.5,74.5,3
５人以上,TL 調査産業計,平成31,2019,1月,17.7,148.1,134.7,13.4,12.3,74.9,71.7,3.2
５人以上,TL 調査産業計,平成31,2019,2月,18.7,156.9,142.6,14.3,12.5,75.9,72.8,3.1
５人以上,TL 調査産業計,平成31,2019,3月,19.1,160.2,145.4,14.8,12.7,78.5,75.3,3.2
５人以上,TL 調査産業計,平成31,2019,4月,19.6,164.7,149.5,15.2,12.9,79.5,76.4,3.1
５人以上,TL 調査産業計,令和元,2019,5月,18.5,154.4,140.4,14,12.6,77.6,74.5,3.1
５人以上,TL 調査産業計,令和元,2019,6月,19.5,162.8,148.6,14.2,13,78.2,75.3,2.9
５人以上,TL 調査産業計,令和元,2019,7月,20.1,167.6,153.2,14.4,13,78.6,75.9,2.7
５人以上,TL 調査産業計,令和元,2019,8月,18.9,157.3,143.7,13.6,12.6,78.2,75.1,3.1
５人以上,TL 調査産業計,令和元,2019,9月,18.6,155.8,141.6,14.2,12.6,77.6,74.6,3
５人以上,TL 調査産業計,令和元,2019,10月,19.4,162,147.2,14.8,12.5,76.3,73.3,3
５人以上,TL 調査産業計,令和元,2019,11月,19.5,163.3,148.5,14.8,12.7,77.3,74.2,3.1
５人以上,TL 調査産業計,令和元,2019,12月,19.2,160.3,146,14.3,12.7,78.2,75.1,3.1
５人以上,"C 鉱業,採石業,砂利採取業",平成26,2014,年平均,19.1,157.9,139,18.9,16.2,115.6,108.2,7.4
