規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,19,19.5,18.2,155,163.2,142.3,140.7,146.4,131.8,14.3,16.8,10.5
100～499人,18.9,19.4,18.1,152.1,160.8,138.6,139.5,145.7,129.8,12.6,15.1,8.8
100人以上,18.9,19.4,18.1,153.6,162,140.4,140.1,146.1,130.8,13.5,15.9,9.6
30～99人,18.2,19.2,17,143.3,159.7,121.9,131.3,143.7,115.1,12,16,6.8
５～29人,17.4,18.7,16,131.9,150.1,112,124.2,139.4,107.6,7.7,10.7,4.4
30人以上,18.7,19.4,17.7,150.2,161.3,133.9,137.2,145.3,125.3,13,16,8.6
５人以上,18.3,19.2,17.1,144.7,158.2,126.6,133.3,143.7,119.4,11.4,14.5,7.2
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和元年７月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
