規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,1242222,463378,424240,39138,778844,155281,143324,135738,7586,11957
100～499人,948434,412034,382757,29277,536400,150083,134372,128818,5554,15711
100人以上,1097906,438156,403862,34294,659750,152450,138449,131970,6479,14001
30～99人,836805,375651,347056,28595,461154,110383,102464,98902,3562,7919
５～29人,682956,363899,344124,19775,319057,101826,95662,92612,3050,6164
30人以上,1023315,420300,387634,32666,603015,131623,120633,115598,5035,10990
５人以上,939831,406466,376962,29504,533365,117830,109074,104958,4116,8756
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和元年１２月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
