産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,2.15,2.27,2.02,2.19
"鉱業,採石業,砂利採取業",ｘ,ｘ,ｘ,ｘ
建設業,1.14,1.44,1.24,1.47
製造業,0.71,1.49,0.82,1.76
電気・ガス・熱供給・水道業,ｘ,ｘ,ｘ,ｘ
情報通信業,1.35,1.67,1.3,1.61
"運輸業,郵便業",2.59,2.52,2.91,2.71
"卸売業,小売業",1.83,1.75,1.36,1.65
"金融業,保険業",1.78,2.53,1.77,2.81
"不動産業,物品賃貸業",1.11,2.03,1.2,1.61
"学術研究,専門・技術サービス業",1.24,1.11,1.36,1.27
"宿泊業,飲食サービス業",4.87,4.55,4.58,3.92
"生活関連サービス業,娯楽業",3.14,2.64,3.73,2.74
"教育,学習支援業",2.37,3.25,2.28,3.26
"医療,福祉",1.98,2.22,1.9,2.1
複合サービス事業,0.58,0.53,0.41,0.44
サービス業（他に分類されないもの）,3.12,2.7,3.49,2.83
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和元年７月分,,,,
第４表  規模、産業別労働異動率,,,,
