規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,496613,469662,426812,42850,26951,155513,154540,145214,9326,973
100～499人,443243,420905,390436,30469,22338,135405,133513,127851,5662,1892
100人以上,470238,445567,408836,36731,24671,144195,142705,135442,7263,1490
30～99人,415350,382675,353290,29385,32675,101962,101131,97440,3691,831
５～29人,378911,363360,344804,18556,15551,94393,93811,91000,2811,582
30人以上,454758,427829,393170,34659,26929,123169,122007,116522,5485,1162
５人以上,436309,412148,381406,30742,24161,109526,108639,104422,4217,887
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３１年４月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
