事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
30人以上,TL 調査産業計,平成26,2014,年平均,19.4,163,146.8,16.2,14.5,87.8,84.3,3.5
30人以上,TL 調査産業計,平成27,2015,年平均,19.2,162.2,146.3,15.9,14.1,84.7,81.6,3.1
30人以上,TL 調査産業計,平成28,2016,年平均,19.3,161.3,146.2,15.1,14.2,85.6,82.7,2.9
30人以上,TL 調査産業計,平成29,2017,年平均,19.3,161.7,146.9,14.8,14.1,84.7,82.1,2.6
30人以上,TL 調査産業計,平成30,2018,年平均,19.3,161.2,146.7,14.5,14.1,87.4,84.2,3.2
30人以上,TL 調査産業計,平成31・令和元,2019,年平均,18.9,158.4,143,15.4,13.2,82.4,78.9,3.5
30人以上,TL 調査産業計,平成31,2019,1月,17.7,148.8,134.4,14.4,13,80.8,77,3.8
30人以上,TL 調査産業計,平成31,2019,2月,18.4,154.8,139.5,15.3,13,80.4,76.8,3.6
30人以上,TL 調査産業計,平成31,2019,3月,18.8,158.7,142.9,15.8,13.2,84.1,80.4,3.7
30人以上,TL 調査産業計,平成31,2019,4月,19.4,163.5,147.1,16.4,13.5,85.3,81.5,3.8
30人以上,TL 調査産業計,令和元,2019,5月,18.5,155.4,140.1,15.3,13.3,83.9,80.1,3.8
30人以上,TL 調査産業計,令和元,2019,6月,19.1,160.6,145.3,15.3,13.4,82.3,79,3.3
30人以上,TL 調査産業計,令和元,2019,7月,20,166.9,151.4,15.5,13.5,82.9,80,2.9
30人以上,TL 調査産業計,令和元,2019,8月,18.7,157,142.3,14.7,13.2,83,79.6,3.4
30人以上,TL 調査産業計,令和元,2019,9月,18.3,153.7,138.4,15.3,13.1,81.6,78.2,3.4
30人以上,TL 調査産業計,令和元,2019,10月,19.2,161.3,145.4,15.9,13.1,80.9,77.4,3.5
30人以上,TL 調査産業計,令和元,2019,11月,19.3,161.8,146,15.8,13.2,81.4,77.9,3.5
30人以上,TL 調査産業計,令和元,2019,12月,18.9,158,142.9,15.1,13.3,82.7,79.1,3.6
