事業所規模,和暦年,西暦年,年平均・月,調査産業計／入職率(％),調査産業計／離職率(％),鉱業，採石業，砂利採取業／入職率(％),鉱業，採石業，砂利採取業／離職率(％),建設業／入職率(％),建設業／離職率(％),製造業／入職率(％),製造業／離職率(％),電気・ガス・熱供給・水道業／入職率(％),電気・ガス・熱供給・水道業／離職率(％),情報通信業／入職率(％),情報通信業／離職率(％),運輸業，郵便業／入職率(％),運輸業，郵便業／離職率(％),卸売業，小売業／入職率(％),卸売業，小売業／離職率(％),金融業，保険業／入職率(％),金融業，保険業／離職率(％),不動産業，物品賃貸業／入職率(％),不動産業，物品賃貸業／離職率(％),学術研究，専門・技術サービス業／入職率(％),学術研究，専門・技術サービス業／離職率(％),宿泊業，飲食サービス業／入職率(％),宿泊業，飲食サービス業／離職率(％),生活関連サービス業，娯楽業／入職率(％),生活関連サービス業，娯楽業／離職率(％),教育，学習支援業／入職率(％),教育，学習支援業／離職率(％),医療，福祉／入職率(％),医療，福祉／離職率(％),複合サービス事業／入職率(％),複合サービス事業／離職率(％),サービス業（他に分類されないもの）／入職率(％),サービス業（他に分類されないもの）／離職率(％)
５人以上,平成26,2014,年平均,2.12,1.98,1.92,1.52,1.25,1.18,1.2,1.2,1.37,1.66,1.37,1.06,1.7,1.59,1.81,1.79,1.7,1.74,1.8,1.71,2.47,2.09,4.28,4.02,2.6,2.34,3.39,3.28,2.06,1.89,1.6,1.82,2.47,2.29
５人以上,平成27,2015,年平均,2.26,2.19,－,－,1.29,1.17,1.33,1.34,1.41,1.59,1.61,1.6,1.9,1.79,1.93,1.97,1.76,1.65,1.99,2.02,1.8,1.36,4.34,4.26,2.78,2.79,3.71,3.64,2.56,2.42,2.3,1.83,2.66,2.56
５人以上,平成28,2016,年平均,2.35,2.21,－,－,1.2,1.12,1.27,1.2,1.27,1,1.58,1.47,1.83,1.9,2.14,1.98,1.8,1.64,2.32,1.96,1.6,1.41,4.89,4.7,3.51,3.3,3.54,3.26,2.52,2.24,2.03,1.93,2.83,2.73
５人以上,平成29,2017,年平均,2.36,2.23,－,－,1.14,1.03,1.22,1.18,1.8,1.04,1.75,1.46,1.77,1.73,2.09,2.01,1.79,1.72,1.89,1.78,1.46,1.42,4.8,4.69,3.62,3.35,3.72,3.61,2.37,2.22,2.15,2.29,3.13,2.83
５人以上,平成30,2018,年平均,2.26,2.23,2.22,2.52,1.14,1.09,1.26,1.22,1.21,1.62,1.6,1.6,1.79,1.81,1.92,1.92,1.76,1.6,1.82,1.74,1.54,1.44,4.8,4.76,3.05,3.26,2.85,2.84,2.31,2.24,2.15,2.27,2.98,2.86
５人以上,平成31・令和元,2019,年平均,2.52,2.36,1.91,2.11,1.88,1.17,1.32,1.24,1.59,2.67,1.67,1.31,2.53,2.32,2.07,1.95,1.81,1.73,1.98,1.76,1.56,1.47,5.39,5.38,3.16,2.76,3.82,3.96,2.47,2.38,1.84,1.77,3.12,2.88
５人以上,平成31,2019,1月,1.86,2.11,2.02,2.79,0.79,0.68,1.04,1.4,1.44,0.48,1.31,1.1,1.19,1.41,1.28,1.56,2.24,1.95,1.06,1.28,1.24,2.24,4.73,5.16,2.13,3.12,1.79,2.51,1.89,2.28,1.55,1.95,2.68,2.63
５人以上,平成31,2019,2月,2.02,1.99,1.12,1.54,1.39,0.72,0.97,0.82,1.72,1.11,1.12,1.08,2.33,1.76,1.68,1.96,1.04,1.11,1.49,1.35,0.91,1,5.22,5.18,2.88,1.92,1.99,3.18,1.52,1.4,0.34,0.54,2.96,2.74
５人以上,平成31,2019,3月,2.22,2.7,0.78,1.62,0.73,1.02,1.13,0.96,1.26,3.95,1.51,1.59,2.62,2.5,2.22,2.3,0.85,1.3,1.49,0.98,1.18,1.45,4.77,6.39,2.54,3.59,2.07,6.42,1.85,2.68,0.69,2.7,3.52,3
５人以上,平成31,2019,4月,6.55,4.7,7.18,4.27,5.13,3.46,4.87,2.14,9.35,20.39,5.95,2.33,7.02,4.5,5.97,3.66,7.43,4.92,6.54,4.07,4.39,2.65,6.52,7.95,5.42,4.1,13.42,11.73,8.3,5.92,14.66,10.14,5.56,4.67
５人以上,令和元,2019,5月,2.76,2.35,1.59,0.97,1.4,0.94,1.22,1.32,1.24,0.66,1.43,1.17,1.91,1.77,2.71,2.77,1.61,1.24,2.44,1.19,1.57,1.08,5.72,5.48,4.34,3.25,6.03,2.44,2.68,3,0.73,0.53,3.28,2.45
５人以上,令和元,2019,6月,2.21,1.97,ｘ,ｘ,1.43,1.34,0.83,1.27,ｘ,ｘ,1.32,1.23,2.1,2.08,1.83,1.86,1.05,1.09,1.51,1.72,0.94,1.25,6.99,4.4,3.37,2.53,2.73,2.13,2.13,1.67,0.59,0.8,2.37,2.53
５人以上,令和元,2019,7月,2.15,2.27,ｘ,ｘ,1.14,1.44,0.71,1.49,ｘ,ｘ,1.35,1.67,2.59,2.52,1.83,1.75,1.78,2.53,1.11,2.03,1.24,1.11,4.87,4.55,3.14,2.64,2.37,3.25,1.98,2.22,0.58,0.53,3.12,2.7
５人以上,令和元,2019,8月,2.13,1.97,0.97,1.59,6.13,0.72,0.88,0.99,0.53,0.58,0.87,0.95,2.21,2.08,1.29,1.27,1.11,1.4,1.03,1.66,1.45,1.32,5.18,5.57,3,1.86,2.24,3.44,1.69,1.99,0.64,0.41,2.79,2.49
５人以上,令和元,2019,9月,2.04,1.95,1.53,2.01,0.6,0.68,1,1.34,0.46,0.2,1.21,1.3,2.29,1.98,1.43,1.44,1.07,1.04,1.35,1.72,1.16,0.99,4.84,4.81,3.79,2.79,3.51,2.96,1.99,2.09,0.31,1.05,2.84,2.32
５人以上,令和元,2019,10月,2.54,2.51,1.81,2.65,1.39,1.38,1.26,1.55,1.66,0.31,1.99,1.54,2.34,2.96,1.97,1.84,1.85,2.34,2.26,1.96,2.4,1.48,4.9,6.17,1.95,2.33,4.79,4.07,1.89,1.89,1.13,1.58,3.77,3.22
５人以上,令和元,2019,11月,2.07,1.96,1.06,1.62,1.4,0.6,0.98,0.99,0.13,0.77,1.02,0.9,1.9,2.38,1.44,1.52,0.81,1.06,1.92,1.7,1.31,2.02,6.34,4.9,3.2,3.22,2.64,2.72,2.01,1.61,0.68,0.69,2.5,2.57
５人以上,令和元,2019,12月,1.68,1.82,1.06,2.05,1.07,1.1,0.99,0.63,0.3,0.55,0.96,0.8,1.85,1.93,1.13,1.43,0.92,0.83,1.5,1.46,0.98,1.08,4.65,4.02,2.21,1.71,2.24,2.66,1.69,1.81,0.21,0.33,2.04,3.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成31年・令和元年年報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第12－１表　産業別労働異動率（事業所規模５人以上）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
