産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,2.04,1.95,1.78,1.67
"鉱業,採石業,砂利採取業",1.53,2.01,1.53,2.01
建設業,0.6,0.68,0.44,0.61
製造業,1,1.34,0.93,1.46
電気・ガス・熱供給・水道業,0.46,0.2,0.51,0.22
情報通信業,1.21,1.3,1.15,1.07
"運輸業,郵便業",2.29,1.98,2.4,2.12
"卸売業,小売業",1.43,1.44,0.96,1.04
"金融業,保険業",1.07,1.04,1.14,1.03
"不動産業,物品賃貸業",1.35,1.72,1.06,1.18
"学術研究,専門・技術サービス業",1.16,0.99,0.99,0.98
"宿泊業,飲食サービス業",4.84,4.81,3.33,3.53
"生活関連サービス業,娯楽業",3.79,2.79,3.15,2.23
"教育,学習支援業",3.51,2.96,3.51,3.37
"医療,福祉",1.99,2.09,2.13,2.03
複合サービス事業,0.31,1.05,0.3,0.68
サービス業（他に分類されないもの）,2.84,2.32,3.1,2.35
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和元年９月分,,,,
第４表  規模、産業別労働異動率,,,,
