産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,6.55,4.7,7.01,4.6
"鉱業,採石業,砂利採取業",7.18,4.27,7.18,4.27
建設業,5.13,3.46,5.3,4.18
製造業,4.87,2.14,5.59,2.37
電気・ガス・熱供給・水道業,9.35,20.39,9.75,22.1
情報通信業,5.95,2.33,5.92,2.11
"運輸業,郵便業",7.02,4.5,6.43,4.49
"卸売業,小売業",5.97,3.66,7.17,3.67
"金融業,保険業",7.43,4.92,7.36,4.63
"不動産業,物品賃貸業",6.54,4.07,6.82,3.77
"学術研究,専門・技術サービス業",4.39,2.65,4.43,2.88
"宿泊業,飲食サービス業",6.52,7.95,6.74,7.1
"生活関連サービス業,娯楽業",5.42,4.1,5.67,4.31
"教育,学習支援業",13.42,11.73,15.07,11.78
"医療,福祉",8.3,5.92,8.41,5.86
複合サービス事業,14.66,10.14,16.08,12.57
サービス業（他に分類されないもの）,5.56,4.67,6.07,5.03
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３１年４月分,,,,
第４表  規模、産業別労働異動率,,,,
