産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,2.22,2.7,1.91,2.35
"鉱業,採石業,砂利採取業",0.78,1.62,0.78,1.62
建設業,0.73,1.02,0.54,0.98
製造業,1.13,0.96,1.16,1.02
電気・ガス・熱供給・水道業,1.26,3.95,1.38,4.33
情報通信業,1.51,1.59,1.47,1.47
"運輸業,郵便業",2.62,2.5,2.9,2.89
"卸売業,小売業",2.22,2.3,1.71,1.75
"金融業,保険業",0.85,1.3,0.61,1.09
"不動産業,物品賃貸業",1.49,0.98,1.06,0.85
"学術研究,専門・技術サービス業",1.18,1.45,1.01,1.51
"宿泊業,飲食サービス業",4.77,6.39,3.18,3.72
"生活関連サービス業,娯楽業",2.54,3.59,3.62,3.56
"教育,学習支援業",2.07,6.42,1.23,6.94
"医療,福祉",1.85,2.68,1.33,2.49
複合サービス事業,0.69,2.7,0.41,2.87
サービス業（他に分類されないもの）,3.52,3,3.89,3.18
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３１年３月分,,,,
第４表  規模、産業別労働異動率,,,,
