規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,444267,524013,320205,420010,494191,304606,387588,32422,24257,29822,15599
100～499人,383255,445117,286482,369249,427861,277559,345428,23821,14006,17256,8923
100人以上,413753,484512,303368,394623,460982,291102,366502,28121,19130,23530,12266
30～99人,311195,382294,216531,298458,365647,209001,276612,21846,12737,16647,7530
５～29人,260055,330166,184489,252854,319954,180534,240715,12139,7201,10212,3955
30人以上,380145,452460,273094,363110,431088,262479,337045,26065,17035,21372,10615
５人以上,343938,419098,242964,329868,400770,234614,308002,21866,14070,18328,8350
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和元年９月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
