産業,１人平均支給額（円）,前年比（％）,支給事業所数割合（％）,支給労働者数割合（％）,平均支給月数（か月）,前年支給月数差（か月）
調査産業計,643481,1.4,83.2,86.4,1.36,0.09
鉱業，採石業，砂利採取業,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
建設業,993232,1.6,88.5,87.9,2.36,0.37
製造業,769742,-3,84.5,89.7,1.49,0.26
電気・ガス・熱供給・水道業,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
情報通信業,780550,10.7,76.6,80.7,1.48,0.12
運輸業，郵便業,492583,-13.4,88.4,88.2,1.34,0.33
卸売業，小売業,691509,-10.2,85.7,90.1,1.28,-0.1
"金融業,保険業",1021813,19.2,82.8,87,2.25,0.04
不動産業，物品賃貸業,775043,11,85.3,87.8,1.74,-0.02
学術研究，専門・技術サービス業,846112,8.3,84,82.8,1.72,0.06
宿泊業，飲食サービス業,102681,-8.6,77.2,79.6,0.36,0
生活関連サービス業，娯楽業,274218,-12,82.7,90.4,0.74,-0.3
教育，学習支援業,504587,-6.7,98.5,94.6,1.47,-0.01
医療，福祉,443792,16.8,73,84,1.32,0.39
複合サービス事業,538849,-18.8,100,100,1.49,-0.3
サービス業（他に分類されないもの）,427602,19.9,82.2,82.3,1.25,0.15
,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和元年夏季,,,,,,
第21表  賞与の産業別及び規模別支給状況,,,,,,
注１）「１人平均支給額」は、賞与を支給した事業所における常用労働者１人当たりの平均賞与支給額です。,,,,,,
　２）「支給事業所数割合」は、賞与を支給した事業所数を全事業所数で除した値です。,,,,,,
　３）「支給労働者数割合」は、賞与を支給した事業所の全常用労働者数を全事業所の全常用労働者数で除した値です。,,,,,,
　４）「平均支給月数」は、賞与を支給した各事業所における賞与の所定内給与に対する割合を単純平均したものです。,,,,,,
