規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19,158.6,142.5,16.1,13.9,92,88,4
100～499人,19.1,159.5,144.2,15.3,13.8,86.1,82.2,3.9
100人以上,19,159,143.3,15.7,13.8,88.8,84.8,4
30～99人,19.6,167,150.5,16.5,12.3,72.9,69.9,3
５～29人,19.9,164.1,152.8,11.3,11.9,70.9,68.5,2.4
30人以上,19.2,161.3,145.4,15.9,13.1,80.9,77.4,3.5
５人以上,19.4,162,147.2,14.8,12.5,76.3,73.3,3
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和元年１０月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
