規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.2,18.8,17.3,149.6,158.5,136.1,135,141.3,125.5,14.6,17.2,10.6
100～499人,18.4,18.9,17.5,147.9,156.6,134.3,134.7,140.8,125.1,13.2,15.8,9.2
100人以上,18.3,18.9,17.4,148.8,157.6,135.2,134.9,141.1,125.3,13.9,16.5,9.9
30～99人,17.5,18.5,16.2,139.1,155.1,117.4,127,139.1,110.7,12.1,16,6.7
５～29人,17.1,18.4,15.6,129.8,147.2,110.5,121.8,136.4,105.6,8,10.8,4.9
30人以上,18,18.7,17,145.6,156.8,129.1,132.3,140.4,120.3,13.3,16.4,8.8
５人以上,17.7,18.6,16.5,140.8,154.1,122.8,129.1,139.3,115.3,11.7,14.8,7.5
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和元年１１月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
