規模,産業,一般労働者／前月末労働者数(人),一般労働者／本月中の増加労働者数(人),一般労働者／本月中の減少労働者数(人),一般労働者／本月末労働者数(人),パートタイム労働者／前月末労働者数(人),パートタイム労働者／本月中の増加労働者数(人),パートタイム労働者／本月中の減少労働者数(人),パートタイム労働者／本月末労働者数(人)
５人以上,調査産業計,5867811,84926,92242,5863316,2122061,92753,123437,2088556
５人以上,"鉱業,採石業,砂利採取業",1405,11,22,1395,13,0,1,11
５人以上,建設業,338474,2378,3410,337442,14836,213,203,14846
５人以上,製造業,531855,5837,5136,532550,47975,735,417,48299
５人以上,電気・ガス・熱供給・水道業,30867,399,1208,30061,786,0,42,741
５人以上,情報通信業,773316,11239,11528,773852,32009,897,1297,30784
５人以上,"運輸業,郵便業",394436,6930,5529,395952,65963,5151,5991,65008
５人以上,"卸売業,小売業",1170210,23307,18862,1174849,481991,13394,19199,475992
５人以上,"金融業,保険業",381366,3080,5061,379385,15284,288,90,15482
５人以上,"不動産業,物品賃貸業",180809,1314,1427,180656,30582,1833,642,31813
５人以上,"学術研究,専門・技術サービス業",358233,3030,4278,356859,27328,1512,1327,27639
５人以上,"宿泊業,飲食サービス業",134079,3764,4087,133913,561008,29387,40329,549909
５人以上,"生活関連サービス業,娯楽業",132446,2098,1790,132753,105674,3945,6755,102865
５人以上,"教育,学習支援業",253396,2241,2583,253055,163269,6377,24172,145473
５人以上,"医療,福祉",452605,5346,8205,450365,307279,8735,12158,303237
５人以上,複合サービス事業,29730,201,663,29266,7996,61,356,7703
５人以上,サービス業（他に分類されないもの）,704584,13751,18453,700963,260068,20225,10458,268754
30人以上,調査産業計,4431683,59768,66842,4426474,1118305,46172,63691,1098921
30人以上,"鉱業,採石業,砂利採取業",1405,11,22,1395,13,0,1,11
30人以上,建設業,219710,1213,2011,218912,6294,18,203,6109
30人以上,製造業,407027,4645,4021,407644,23172,344,362,23161
30人以上,電気・ガス・熱供給・水道業,28190,399,1208,27383,691,0,42,647
30人以上,情報通信業,688741,9634,9788,688607,15368,701,597,15452
30人以上,"運輸業,郵便業",335521,6111,5529,336218,52925,5151,5708,52253
30人以上,"卸売業,小売業",786250,13276,10671,788828,233250,4156,7189,230244
30人以上,"金融業,保険業",316361,1864,3465,314760,10182,136,90,10228
30人以上,"不動産業,物品賃貸業",123057,1080,900,123197,16995,408,288,17155
30人以上,"学術研究,専門・技術サービス業",260775,2239,3346,259716,16431,556,833,16106
30人以上,"宿泊業,飲食サービス業",64321,1172,1333,64226,157315,5866,6920,156195
30人以上,"生活関連サービス業,娯楽業",66168,1287,464,66990,61871,3351,4097,61126
30人以上,"教育,学習支援業",212324,1802,2342,211785,112382,2180,20182,94379
30人以上,"医療,福祉",323991,3133,5326,322405,169809,3427,6989,165640
30人以上,複合サービス事業,20210,72,511,19770,4360,28,195,4194
30人以上,サービス業（他に分類されないもの）,577632,11830,15905,574638,237247,19850,9995,246021
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３１年３月分,,,,,,,,,
第７表  規模、産業、就業形態別常用労働者数,,,,,,,,,
