規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.6,155.7,139.6,16.1,13.2,94.3,89.7,4.6
100～499人,18.8,158.1,142.5,15.6,13.6,86.1,82.3,3.8
100人以上,18.7,156.9,141,15.9,13.4,89.6,85.5,4.1
30～99人,19.3,163.1,147.4,15.7,13.1,78.3,75.1,3.2
５～29人,19.9,164.8,153.2,11.6,12.1,72.2,69.6,2.6
30人以上,18.8,158.7,142.9,15.8,13.2,84.1,80.4,3.7
５人以上,19.1,160.2,145.4,14.8,12.7,78.5,75.3,3.2
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３１年３月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
