規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18,18.4,17.3,147.9,155.7,136.1,133.6,138.9,125.6,14.3,16.8,10.5
100～499人,18.3,18.8,17.5,147.3,156.1,133.8,134.6,140.9,125,12.7,15.2,8.8
100人以上,18.1,18.6,17.4,147.6,155.9,135,134.1,139.9,125.3,13.5,16,9.7
30～99人,17.7,18.7,16.4,139.2,155.8,117.7,127.5,139.9,111.4,11.7,15.9,6.3
５～29人,17.4,18.7,16,131.2,149,112.4,123.9,139.1,107.8,7.3,9.9,4.6
30人以上,18,18.6,17,144.9,155.9,129,132,139.9,120.5,12.9,16,8.5
５人以上,17.8,18.7,16.7,140.7,154,123.4,129.5,139.7,116.2,11.2,14.3,7.2
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和元年６月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
