規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19,160.3,143.7,16.6,13.6,96,91.2,4.8
100～499人,19.3,161.7,146.1,15.6,13.9,89.5,85.5,4
100人以上,19.1,161,144.9,16.1,13.8,92.4,88,4.4
30～99人,20,170.1,152.8,17.3,13.1,78.2,75,3.2
５～29人,20.5,168.2,157.1,11.1,12.2,73,70.6,2.4
30人以上,19.4,163.5,147.1,16.4,13.5,85.3,81.5,3.8
５人以上,19.6,164.7,149.5,15.2,12.9,79.5,76.4,3.1
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３１年４月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
