規模,産業,一般労働者／前月末労働者数(人),一般労働者／本月中の増加労働者数(人),一般労働者／本月中の減少労働者数(人),一般労働者／本月末労働者数(人),パートタイム労働者／前月末労働者数(人),パートタイム労働者／本月中の増加労働者数(人),パートタイム労働者／本月中の減少労働者数(人),パートタイム労働者／本月末労働者数(人)
５人以上,調査産業計,5865693,72209,77850,5860251,2118956,88695,81263,2126189
５人以上,"鉱業,採石業,砂利採取業",1410,16,21,1405,14,0,1,13
５人以上,建設業,335096,3838,1878,337054,15884,1029,659,16256
５人以上,製造業,528309,4506,3965,528792,47200,1100,752,47606
５人以上,電気・ガス・熱供給・水道業,30688,519,340,30869,775,21,10,784
５人以上,情報通信業,773986,7612,7431,774076,31015,1423,1280,31249
５人以上,"運輸業,郵便業",399682,5546,5444,400440,58138,5102,2625,59959
５人以上,"卸売業,小売業",1173106,11299,16923,1167973,483703,16534,15518,484228
５人以上,"金融業,保険業",381759,3227,4066,380919,15183,890,343,15731
５人以上,"不動産業,物品賃貸業",178765,2509,1469,179770,32345,632,1391,31621
５人以上,"学術研究,専門・技術サービス業",359442,2634,3133,358845,26463,872,717,26716
５人以上,"宿泊業,飲食サービス業",138010,6780,6904,137028,556827,29458,29084,558059
５人以上,"生活関連サービス業,娯楽業",139686,2063,2428,139469,96160,4739,2100,98651
５人以上,"教育,学習支援業",249442,761,1750,248446,172251,7610,11649,168219
５人以上,"医療,福祉",452181,4734,4029,452942,306829,6799,6630,306942
５人以上,複合サービス事業,29495,70,131,29433,8309,57,74,8293
５人以上,サービス業（他に分類されないもの）,694636,16095,17938,692790,267860,12429,8430,271862
30人以上,調査産業計,4428489,50958,55053,4424227,1123116,37899,38853,1122329
30人以上,"鉱業,採石業,砂利採取業",1410,16,21,1405,14,0,1,13
30人以上,建設業,216268,2715,1071,217910,7549,845,302,8094
30人以上,製造業,404051,2899,3232,403680,22894,363,208,23087
30人以上,電気・ガス・熱供給・水道業,27964,519,293,28191,680,21,10,690
30人以上,情報通信業,687766,7057,6341,688482,15143,1055,571,15627
30人以上,"運輸業,郵便業",340433,4851,4538,341401,46924,3401,2625,47045
30人以上,"卸売業,小売業",789805,5906,9272,786415,235530,3331,5800,233085
30人以上,"金融業,保険業",316079,2255,2889,315444,10533,827,262,11099
30人以上,"不動産業,物品賃貸業",121809,783,737,121820,18165,280,248,18232
30人以上,"学術研究,専門・技術サービス業",260630,2106,2385,260254,16581,832,558,16952
30人以上,"宿泊業,飲食サービス業",63611,2309,1793,63363,159541,4135,6167,158273
30人以上,"生活関連サービス業,娯楽業",72086,1309,1542,72002,55432,2226,1472,56037
30人以上,"教育,学習支援業",211772,611,1480,210896,118036,6130,10363,113810
30人以上,"医療,福祉",325847,2648,2681,325814,168357,2345,2716,167986
30人以上,複合サービス事業,19900,70,72,19897,4718,28,74,4673
30人以上,サービス業（他に分類されないもの）,569058,14904,16706,567253,243019,12080,7476,247626
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３１年２月分,,,,,,,,,
第７表  規模、産業、就業形態別常用労働者数,,,,,,,,,
