規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,16.9,17.2,16.4,139.1,145,130.2,126.3,130.2,120.4,12.8,14.8,9.8
100～499人,17,17.5,16.3,137.9,146,124.9,125.3,131,116.2,12.6,15,8.7
100人以上,17,17.4,16.3,138.5,145.5,127.6,125.8,130.6,118.3,12.7,14.9,9.3
30～99人,16.2,16.9,15.2,128,141.8,109.3,116.7,127.2,102.5,11.3,14.6,6.8
５～29人,15.2,16.3,14,114,128.9,97.9,106.9,119.2,93.7,7.1,9.7,4.2
30人以上,16.7,17.2,15.9,135,144.3,121.3,122.8,129.5,112.9,12.2,14.8,8.4
５人以上,16.2,17,15.3,128.7,140.1,113.3,118,126.7,106.3,10.7,13.4,7
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３１年１月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
