規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,492447,465653,428213,37440,26794,148594,146900,139310,7590,1694
100～499人,436110,421478,392190,29288,14632,134569,133309,127495,5814,1260
100人以上,464987,444121,410655,33466,20866,140871,139416,132804,6612,1455
30～99人,400366,383677,352724,30953,16689,98409,97679,94170,3509,730
５～29人,373733,362387,343042,19345,11346,92968,92488,89588,2900,480
30人以上,446565,426889,394139,32750,19676,119655,118562,113501,5061,1093
５人以上,428588,410968,381527,29441,17620,107482,106669,102593,4076,813
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和元年１０月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
