規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.5,156.1,139.9,16.2,13.9,98.7,93.4,5.3
100～499人,18.3,152.3,138,14.3,13.7,85.7,82.1,3.6
100人以上,18.4,154.3,139,15.3,13.8,91.5,87.1,4.4
30～99人,18.7,158,142.8,15.2,12.8,76.2,73,3.2
５～29人,18.4,151.7,141.5,10.2,11.9,70.2,67.9,2.3
30人以上,18.5,155.4,140.1,15.3,13.3,83.9,80.1,3.8
５人以上,18.5,154.4,140.4,14,12.6,77.6,74.5,3.1
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和元年５月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
