事業所規模,和暦年,西暦年,年平均・月,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５～29人,平成26,2014,年平均,17.6,18.8,16.2,134.6,151.7,114.3,126.3,140.5,109.4,8.3,11.2,4.9
５～29人,平成27,2015,年平均,17.6,18.8,16.2,136.1,153.3,115,127.6,141.7,110.3,8.5,11.6,4.7
５～29人,平成28,2016,年平均,17.6,18.7,16.2,135.5,151.9,115.7,127.1,140.6,110.9,8.4,11.3,4.8
５～29人,平成29,2017,年平均,17.4,18.7,16,134.9,152.5,114.1,126,140.1,109.3,8.9,12.4,4.8
５～29人,平成30,2018,年平均,17,18.3,15.7,128.6,145.3,110.2,120.9,134.8,105.6,7.7,10.5,4.6
５～29人,平成31・令和元,2019,年平均,16.7,17.9,15.3,126.4,143.4,108.1,118.8,133,103.5,7.6,10.4,4.6
５～29人,平成31,2019,1月,15.2,16.3,14,114,128.9,97.9,106.9,119.2,93.7,7.1,9.7,4.2
５～29人,平成31,2019,2月,16.6,17.8,15.3,125.5,142.4,107.5,117.8,131.9,102.7,7.7,10.5,4.8
５～29人,平成31,2019,3月,16.7,18,15.4,126.8,143.5,109.1,118.9,132.9,104,7.9,10.6,5.1
５～29人,平成31,2019,4月,17.1,18.3,15.8,129.6,146.3,111.7,122,136.2,106.8,7.6,10.1,4.9
５～29人,令和元,2019,5月,15.8,16.9,14.7,119.6,134.6,103.6,112.5,125.1,99.1,7.1,9.5,4.5
５～29人,令和元,2019,6月,17.4,18.7,16,131.2,149,112.4,123.9,139.1,107.8,7.3,9.9,4.6
５～29人,令和元,2019,7月,17.4,18.7,16,131.9,150.1,112,124.2,139.4,107.6,7.7,10.7,4.4
５～29人,令和元,2019,8月,16.4,17.6,15.1,124.2,140.6,106.9,116.9,130.4,102.6,7.3,10.2,4.3
５～29人,令和元,2019,9月,16.7,18,15.3,127.1,144.2,108.8,119.4,133.7,104,7.7,10.5,4.8
５～29人,令和元,2019,10月,16.7,18.2,15.2,127.4,145.8,107.8,119.6,135.1,103.1,7.8,10.7,4.7
