事業所規模,産業,夏季／1人平均支給額(円),夏季／1人平均支給額／前年比(％),夏季／支給事業所数割合(％),夏季／支給労働者数割合(％),夏季／平均支給月数(か月),夏季／平均支給月数／前年月数差(か月),冬季／1人平均支給額(円),冬季／1人平均支給額／前年比(％),冬季／支給事業所数割合(％),冬季／支給労働者数割合(％),冬季／平均支給月数(か月),冬季／平均支給月数／前年月数差(か月)
30人以上,TL 調査産業計,643481,1.4,83.2,86.4,1.36,0.09,653561,2.3,84.2,87,1.37,0.04
30人以上,"C 鉱業,採石業,砂利採取業",ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,1335257,-13.8,100,100,2.74,-0.38
30人以上,D 建設業,993232,1.6,88.5,87.9,2.36,0.37,894596,2.5,98.8,98.5,2.08,0.22
30人以上,E 製造業,769742,-3,84.5,89.7,1.49,0.26,825797,6.8,85.2,91.6,1.49,-0.16
30人以上,F 電気・ガス・熱供給・水道業,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,990165,-3.3,46.4,72.9,2.46,0.29
30人以上,G 情報通信業,780550,10.7,76.6,80.7,1.48,0.12,780147,10.2,79.9,86.1,1.53,0.1
30人以上,"H 運輸業,郵便業",492583,-13.4,88.4,88.2,1.34,0.33,602889,8.4,95,92.3,1.43,0.28
30人以上,"I 卸売業,小売業",691509,-10.2,85.7,90.1,1.28,-0.1,734773,-3.5,82.6,85.6,1.35,0.06
30人以上,"J 金融業,保険業",1021813,19.2,82.8,87,2.25,0.04,1147427,25.7,82.9,88.2,2.38,0.34
30人以上,"K 不動産業,物品賃貸業",775043,11,85.3,87.8,1.74,-0.02,730041,10.3,86.5,94.3,1.74,-0.11
30人以上,"L 学術研究,専門・技術サービス業",846112,8.3,84,82.8,1.72,0.06,719612,-12.5,84.2,85.3,1.6,-0.19
30人以上,"M 宿泊業,飲食サービス業",102681,-8.6,77.2,79.6,0.36,0,131055,-4.8,84.8,80.2,0.4,-0.01
30人以上,"N 生活関連サービス業,娯楽業",274218,-12,82.7,90.4,0.74,-0.3,248445,3.3,89.3,88.1,0.76,-0.11
30人以上,"O 教育,学習支援業",504587,-6.7,98.5,94.6,1.47,-0.01,529780,-15.3,91.3,89.7,1.6,-0.13
30人以上,"P 医療,福祉",443792,16.8,73,84,1.32,0.39,486904,5.1,71.1,80.1,1.38,0.32
30人以上,Q 複合サービス事業,538849,-18.8,100,100,1.49,-0.3,566838,-13.9,100,100,1.74,0
30人以上,R サービス業（他に分類されないもの）,427602,19.9,82.2,82.3,1.25,0.15,339693,9.3,84.9,83.3,1.13,0.14
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成31年・令和元年年報,,,,,,,,,,,,,
第５表　夏・冬季賞与の産業別支給状況（事業所規模30人以上）,,,,,,,,,,,,,
