規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,533883,464501,423523,40978,69382,151139,149181,140305,8876,1958
100～499人,505301,420349,390268,30081,84952,132167,130310,125145,5165,1857
100人以上,519832,442795,407174,35621,77037,140382,138482,131710,6772,1900
30～99人,418719,375519,348191,27328,43200,107980,100857,97215,3642,7123
５～29人,391052,361840,343035,18805,29212,94924,93994,90841,3153,930
30人以上,490999,423611,390355,33256,67388,124542,120088,114846,5242,4454
５人以上,466522,408483,378766,29717,58039,110520,107734,103481,4253,2786
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３１年３月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
