産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.86,2.11,1.6,1.78
"鉱業,採石業,砂利採取業",2.02,2.79,2.02,2.79
建設業,0.79,0.68,0.67,0.51
製造業,1.04,1.4,1.22,1.31
電気・ガス・熱供給・水道業,1.44,0.48,1.58,0.53
情報通信業,1.31,1.1,1.15,1.01
"運輸業,郵便業",1.19,1.41,1.33,1.49
"卸売業,小売業",1.28,1.56,1.08,1.19
"金融業,保険業",2.24,1.95,2.03,1.54
"不動産業,物品賃貸業",1.06,1.28,0.82,0.99
"学術研究,専門・技術サービス業",1.24,2.24,1.01,2.55
"宿泊業,飲食サービス業",4.73,5.16,2.45,4.05
"生活関連サービス業,娯楽業",2.13,3.12,1.75,2.23
"教育,学習支援業",1.79,2.51,1.79,2.12
"医療,福祉",1.89,2.28,1.9,2.18
複合サービス事業,1.55,1.95,1.35,1.8
サービス業（他に分類されないもの）,2.68,2.63,2.92,2.86
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３１年１月分,,,,
第４表  規模、産業別労働異動率,,,,
