産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.68,1.82,1.37,1.59
"鉱業,採石業,砂利採取業",1.06,2.05,1.06,2.05
建設業,1.07,1.1,0.38,0.82
製造業,0.99,0.63,0.96,0.68
電気・ガス・熱供給・水道業,0.3,0.55,0.33,0.42
情報通信業,0.96,0.8,0.86,0.79
"運輸業,郵便業",1.85,1.93,1.49,1.86
"卸売業,小売業",1.13,1.43,0.84,0.92
"金融業,保険業",0.92,0.83,0.94,0.8
"不動産業,物品賃貸業",1.5,1.46,0.62,0.78
"学術研究,専門・技術サービス業",0.98,1.08,0.83,1.15
"宿泊業,飲食サービス業",4.65,4.02,3.62,2.76
"生活関連サービス業,娯楽業",2.21,1.71,2.26,1.54
"教育,学習支援業",2.24,2.66,2.24,2.91
"医療,福祉",1.69,1.81,1.58,1.45
複合サービス事業,0.21,0.33,0.33,0.5
サービス業（他に分類されないもの）,2.04,3.25,2.2,3.55
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和元年１２月分,,,,
第４表  規模、産業別労働異動率,,,,
