規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.3,18.8,17.5,149.6,157.4,137.8,135.1,140.5,127,14.5,16.9,10.8
100～499人,18.2,18.8,17.4,147.3,156.1,133.2,133.9,140.1,124,13.4,16,9.2
100人以上,18.2,18.8,17.5,148.4,156.8,135.5,134.5,140.3,125.5,13.9,16.5,10
30～99人,17.4,18.3,16.2,138,153.7,117.1,125.7,137.5,109.9,12.3,16.2,7.2
５～29人,16.7,18.2,15.2,127.4,145.8,107.8,119.6,135.1,103.1,7.8,10.7,4.7
30人以上,18,18.6,17,145,155.8,129.2,131.6,139.4,120.1,13.4,16.4,9.1
５人以上,17.6,18.5,16.4,139.7,153,121.9,128,138.2,114.3,11.7,14.8,7.6
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和元年１０月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
