規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.8,18.4,17,147.6,154.9,136,133,137.9,125.2,14.6,17,10.8
100～499人,17.9,18.4,17,145.8,154.5,132.1,132.2,138.3,122.6,13.6,16.2,9.5
100人以上,17.9,18.4,17,146.7,154.7,134.1,132.6,138.1,123.9,14.1,16.6,10.2
30～99人,17.4,18.4,16.2,137.6,153,116.5,125.7,137.4,109.6,11.9,15.6,6.9
５～29人,16.7,18,15.4,126.8,143.5,109.1,118.9,132.9,104,7.9,10.6,5.1
30人以上,17.7,18.4,16.7,143.8,154.2,127.9,130.4,137.9,118.9,13.4,16.3,9
５人以上,17.4,18.3,16.3,138.6,151.2,121.3,126.9,136.5,113.7,11.7,14.7,7.6
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３１年３月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
