規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.9,18.5,17.1,147,155.1,134.3,133,138.7,124.1,14,16.4,10.2
100～499人,18,18.5,17.3,144.7,153,131.6,131.9,137.7,122.7,12.8,15.3,8.9
100人以上,18,18.5,17.2,145.8,154,133,132.4,138.2,123.4,13.4,15.8,9.6
30～99人,17.4,18.3,16.2,137.2,152.9,116,125.5,137.4,109.5,11.7,15.5,6.5
５～29人,17,18.3,15.5,129.6,147.7,110,121.6,136.6,105.4,8,11.1,4.6
30人以上,17.8,18.4,16.8,143,153.6,127.1,130.2,137.9,118.6,12.8,15.7,8.5
５人以上,17.5,18.4,16.4,139,152.1,121.3,127.6,137.6,114.1,11.4,14.5,7.2
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和元年１２月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
