規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.2,17.7,16.5,142.5,149.9,131.3,128.5,133.5,121,14,16.4,10.3
100～499人,17.5,18,16.7,142,151,127.9,128.9,135.2,119,13.1,15.8,8.9
100人以上,17.4,17.9,16.6,142.2,150.5,129.6,128.7,134.4,120,13.5,16.1,9.6
30～99人,17.1,18,15.8,134.6,150.2,113.6,122.9,134.7,107,11.7,15.5,6.6
５～29人,16.6,17.8,15.3,125.5,142.4,107.5,117.8,131.9,102.7,7.7,10.5,4.8
30人以上,17.3,17.9,16.3,139.7,150.4,124.1,126.8,134.5,115.5,12.9,15.9,8.6
５人以上,17.1,17.9,16,135.4,148.2,118.4,124.1,133.8,111.1,11.3,14.4,7.3
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３１年２月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
